DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,1184.9,1198.6,1181.2,1189.3,1318.0,790.5,360ONE
2025-11-28,1165.9,1186.0,1144.0,1183.2,1318.0,790.5,360ONE
2025-11-27,1150.0,1173.9,1141.0,1166.6,1318.0,790.5,360ONE
2025-11-26,1121.9,1158.4,1121.9,1150.0,1318.0,790.5,360ONE
2025-11-25,1121.1,1144.0,1110.3,1120.0,1318.0,790.5,360ONE
2025-11-24,1147.6,1154.3,1122.4,1129.8,1318.0,790.5,360ONE
2025-11-21,1142.1,1157.3,1121.0,1139.7,1318.0,790.5,360ONE
2025-11-20,1128.9,1144.9,1117.6,1142.1,1318.0,790.5,360ONE
2025-11-19,1080.0,1125.8,1066.9,1119.2,1318.0,790.5,360ONE
2025-11-18,1079.8,1081.4,1056.0,1078.0,1318.0,790.5,360ONE
2025-11-17,1062.2,1080.0,1060.2,1071.8,1318.0,790.5,360ONE
2025-11-14,1087.0,1089.8,1059.0,1065.4,1318.0,790.5,360ONE
2025-11-13,1089.0,1095.0,1075.8,1085.6,1318.0,790.5,360ONE
2025-11-12,1080.8,1096.9,1072.8,1089.0,1318.0,790.5,360ONE
2025-11-11,1073.1,1089.1,1051.1,1070.0,1318.0,790.5,360ONE
2025-11-10,1069.5,1079.0,1056.6,1074.6,1318.0,790.5,360ONE
2025-11-07,1060.0,1076.3,1052.4,1066.0,1318.0,790.5,360ONE
2025-11-06,1081.6,1084.1,1062.7,1068.2,1318.0,790.5,360ONE
2025-11-04,1099.0,1099.4,1071.9,1079.1,1318.0,790.5,360ONE
2025-11-03,1088.7,1104.9,1084.3,1093.6,1318.0,790.5,360ONE
2025-10-31,1121.5,1123.9,1074.0,1080.7,1318.0,790.5,360ONE
2025-10-30,1134.9,1137.8,1117.2,1119.6,1318.0,790.5,360ONE
2025-10-29,1146.6,1146.6,1104.2,1126.7,1318.0,790.5,360ONE
2025-10-28,1173.4,1183.4,1166.1,1171.8,1318.0,790.5,360ONE
2025-10-27,1179.8,1189.8,1167.8,1173.0,1318.0,790.5,360ONE
2025-10-24,1185.1,1192.2,1170.2,1185.7,1318.0,790.5,360ONE
2025-10-23,1160.0,1188.4,1160.0,1178.9,1318.0,790.5,360ONE
2025-10-21,1200.1,1200.1,1170.0,1175.4,1318.0,790.5,360ONE
2025-10-20,1165.0,1194.8,1143.6,1183.3,1318.0,790.5,360ONE
2025-10-17,1172.5,1182.2,1143.1,1164.9,1318.0,790.5,360ONE
2025-10-16,1174.0,1179.8,1158.0,1171.8,1318.0,790.5,360ONE
2025-10-15,1131.0,1172.0,1117.3,1160.4,1318.0,790.5,360ONE
2025-10-14,1106.1,1131.6,1101.5,1126.7,1318.0,790.5,360ONE
2025-10-13,1085.0,1104.0,1083.0,1101.4,1318.0,790.5,360ONE
2025-10-10,1086.6,1099.9,1077.8,1095.1,1318.0,790.5,360ONE
2025-10-09,1093.8,1093.8,1076.5,1084.4,1318.0,790.5,360ONE
2025-10-08,1066.9,1105.8,1064.7,1085.3,1318.0,790.5,360ONE
2025-10-07,1060.0,1078.0,1054.6,1069.4,1318.0,790.5,360ONE
2025-10-06,1054.0,1065.2,1046.8,1062.4,1318.0,790.5,360ONE
2025-10-03,1044.9,1051.7,1033.2,1049.2,1318.0,790.5,360ONE
2025-10-01,1028.9,1040.2,1013.0,1036.5,1318.0,790.5,360ONE
2025-09-30,1038.0,1038.0,1011.9,1024.0,1318.0,790.5,360ONE
2025-09-29,1002.0,1040.7,1002.0,1028.7,1318.0,790.5,360ONE
2025-09-26,1016.0,1024.2,996.8,1001.8,1318.0,790.5,360ONE
2025-09-25,1025.0,1029.2,1012.0,1022.1,1318.0,790.5,360ONE
2025-09-24,1022.0,1033.0,1005.1,1026.5,1318.0,790.5,360ONE
2025-09-23,1048.0,1053.3,1015.4,1019.6,1318.0,790.5,360ONE
2025-09-22,1071.0,1087.0,1042.2,1050.4,1318.0,790.5,360ONE
2025-09-19,1102.3,1104.0,1075.0,1080.8,1318.0,790.5,360ONE
2025-09-18,1103.0,1105.0,1094.2,1102.1,1318.0,790.5,360ONE
2025-09-17,1090.7,1107.6,1089.5,1103.0,1318.0,790.5,360ONE
2025-09-16,1079.0,1097.1,1078.3,1091.1,1318.0,790.5,360ONE
