DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-12-23,660.0,697.0,640.4,668.8,788.5,596.15,AFFORDABLE
2024-12-20,648.0,652.4,632.35,636.6,788.5,596.15,AFFORDABLE
2024-12-19,649.0,650.5,638.0,644.5,788.5,596.15,AFFORDABLE
2024-12-18,667.65,668.3,638.85,648.0,788.5,596.15,AFFORDABLE
2024-12-17,650.0,669.0,647.5,654.55,788.5,596.15,AFFORDABLE
2024-12-16,645.8,690.95,642.5,652.7,788.5,596.15,AFFORDABLE
2024-12-13,640.05,650.1,630.0,646.55,788.5,596.15,AFFORDABLE
2024-12-12,645.1,646.8,624.05,640.25,788.5,596.15,AFFORDABLE
2024-12-11,640.0,651.6,640.0,648.45,788.5,596.15,AFFORDABLE
2024-12-10,635.0,648.0,626.1,639.7,788.5,596.15,AFFORDABLE
2024-12-09,630.1,644.0,630.1,638.7,788.5,596.15,AFFORDABLE
2024-12-06,639.45,641.8,626.0,634.4,788.5,596.15,AFFORDABLE
2024-12-05,633.7,645.0,631.1,638.9,788.5,596.15,AFFORDABLE
2024-12-04,657.4,657.45,635.45,640.0,788.5,596.15,AFFORDABLE
2024-12-03,642.7,678.45,642.7,647.85,788.5,596.15,AFFORDABLE
2024-12-02,645.7,657.7,631.1,637.95,788.5,596.15,AFFORDABLE
2024-11-29,643.55,648.3,634.65,640.9,788.5,596.15,AFFORDABLE
2024-11-28,659.8,665.75,634.0,643.55,788.5,596.15,AFFORDABLE
2024-11-27,644.15,651.0,636.75,644.55,788.5,596.15,AFFORDABLE
2024-11-26,646.2,648.45,634.05,643.55,788.5,596.15,AFFORDABLE
2024-11-25,659.95,659.95,638.15,639.95,788.5,596.15,AFFORDABLE
2024-11-22,648.3,654.3,630.5,641.45,788.5,596.15,AFFORDABLE
2024-11-21,648.3,653.3,631.0,638.6,788.5,596.15,AFFORDABLE
2024-11-19,650.0,679.9,637.2,643.5,788.5,596.15,AFFORDABLE
2024-11-18,683.3,683.3,641.1,655.2,788.5,596.15,AFFORDABLE
2024-11-14,648.0,667.0,634.55,662.0,788.5,596.15,AFFORDABLE
2024-11-13,655.95,662.95,611.95,641.4,788.5,596.15,AFFORDABLE
2024-11-12,682.0,693.95,649.1,655.95,788.5,596.15,AFFORDABLE
2024-11-11,635.0,729.95,596.15,681.5,788.5,596.15,AFFORDABLE
2024-11-08,704.95,704.95,684.75,691.9,788.5,661.05,AFFORDABLE
2024-11-07,725.0,734.95,694.0,698.6,788.5,661.05,AFFORDABLE
2024-11-06,715.3,725.0,679.1,711.1,788.5,661.05,AFFORDABLE
2024-11-05,710.0,711.0,691.45,705.55,788.5,661.05,AFFORDABLE
2024-11-04,720.05,740.0,661.05,705.65,788.5,661.05,AFFORDABLE
2024-11-01,718.0,720.0,701.25,713.7,788.5,666.0,AFFORDABLE
2024-10-31,720.0,723.0,670.5,693.0,788.5,666.0,AFFORDABLE
2024-10-30,711.4,725.0,684.45,707.8,788.5,666.0,AFFORDABLE
2024-10-29,705.2,758.8,666.0,708.05,788.5,666.0,AFFORDABLE
2024-10-28,721.0,732.6,671.0,705.2,788.5,671.0,AFFORDABLE
2024-10-25,743.0,755.55,689.8,706.8,788.5,689.8,AFFORDABLE
2024-10-24,731.2,744.5,711.0,735.8,788.5,690.2,AFFORDABLE
2024-10-23,751.1,788.5,690.2,731.2,788.5,690.2,AFFORDABLE
