DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-12-03,3479.25,3599.0,3462.25,3508.1,4949.95,3337.0,AIAENG
2024-12-02,3539.1,3539.2,3455.2,3473.65,4949.95,3337.0,AIAENG
2024-11-29,3478.65,3518.4,3439.4,3499.25,4949.95,3337.0,AIAENG
2024-11-28,3450.0,3487.0,3442.5,3478.65,4949.95,3337.0,AIAENG
2024-11-27,3507.0,3507.0,3427.35,3448.0,4949.95,3337.0,AIAENG
2024-11-26,3486.3,3505.2,3466.0,3490.2,4949.95,3337.0,AIAENG
2024-11-25,3432.9,3549.95,3432.9,3477.6,4949.95,3337.0,AIAENG
2024-11-22,3390.5,3451.8,3390.5,3414.95,4949.95,3337.0,AIAENG
2024-11-21,3440.0,3440.0,3337.0,3407.25,4949.95,3337.0,AIAENG
2024-11-19,3416.75,3489.75,3411.95,3447.45,4949.95,3366.5,AIAENG
2024-11-18,3430.9,3560.0,3366.5,3406.8,4949.95,3366.5,AIAENG
2024-11-14,3518.2,3526.75,3418.25,3430.9,4949.95,3404.6,AIAENG
2024-11-13,3515.25,3546.1,3489.15,3514.7,4949.95,3404.6,AIAENG
2024-11-12,3630.1,3630.1,3520.6,3534.0,4949.95,3404.6,AIAENG
2024-11-11,3658.15,3658.15,3602.05,3617.75,4949.95,3404.6,AIAENG
2024-11-08,3677.15,3681.0,3596.6,3658.15,4949.95,3404.6,AIAENG
2024-11-07,3758.0,3758.0,3666.15,3677.15,4949.95,3404.6,AIAENG
2024-11-06,3779.1,3784.0,3663.15,3760.1,4949.95,3404.6,AIAENG
2024-11-05,3799.95,3830.0,3751.0,3759.3,4949.95,3404.6,AIAENG
2024-11-04,3850.0,3863.15,3752.9,3803.75,4949.95,3404.6,AIAENG
2024-11-01,3831.75,3870.0,3820.15,3852.7,4949.95,3404.6,AIAENG
2024-10-31,3850.0,3932.25,3783.0,3819.75,4949.95,3404.6,AIAENG
2024-10-30,3881.0,3949.0,3700.0,3901.5,4949.95,3404.6,AIAENG
2024-10-29,3875.0,3918.95,3851.0,3900.35,4949.95,3404.6,AIAENG
2024-10-28,3897.05,3918.15,3822.4,3879.6,4949.95,3404.6,AIAENG
2024-10-25,3898.0,3957.05,3842.05,3897.7,4949.95,3340.05,AIAENG
2024-10-24,3982.75,3994.7,3776.9,3907.2,4949.95,3340.05,AIAENG
2024-10-23,3955.45,4013.9,3902.0,3963.0,4949.95,3340.05,AIAENG
2024-10-22,4119.0,4134.95,3945.35,3982.45,4949.95,3340.05,AIAENG
2024-10-21,4150.25,4155.0,4083.0,4119.3,4949.95,3340.05,AIAENG
2024-10-18,4260.0,4260.65,4150.05,4163.85,4949.95,3340.05,AIAENG
2024-10-17,4239.4,4275.0,4125.2,4250.7,4949.95,3340.05,AIAENG
2024-10-16,4166.9,4225.0,4148.05,4217.25,4949.95,3340.05,AIAENG
2024-10-15,4117.3,4159.0,4085.0,4150.3,4949.95,3340.05,AIAENG
2024-10-14,4074.35,4095.95,3996.15,4073.75,4949.95,3340.05,AIAENG
2024-10-11,4093.3,4127.95,4060.0,4074.35,4949.95,3340.05,AIAENG
2024-10-10,4132.5,4137.15,4088.05,4093.3,4949.95,3340.05,AIAENG
2024-10-09,4195.0,4206.35,4090.65,4111.05,4949.95,3340.05,AIAENG
2024-10-08,4100.0,4189.95,4085.0,4132.2,4949.95,3340.05,AIAENG
2024-10-07,4212.3,4270.0,4122.0,4143.7,4949.95,3340.05,AIAENG
2024-10-04,4280.0,4292.8,4157.6,4257.35,4949.95,3340.05,AIAENG
2024-10-03,4347.3,4350.0,4241.05,4270.35,4949.95,3340.05,AIAENG
2024-10-01,4325.8,4397.95,4302.4,4351.65,4949.95,3340.05,AIAENG
2024-09-30,4300.0,4367.45,4265.0,4336.4,4949.95,3340.05,AIAENG
2024-09-27,4344.0,4400.0,4280.0,4290.15,4949.95,3340.05,AIAENG
2024-09-26,4330.0,4353.65,4292.55,4321.25,4949.95,3340.05,AIAENG
2024-09-25,4444.0,4444.0,4286.0,4331.9,4949.95,3340.05,AIAENG
2024-09-24,4295.0,4425.0,4295.0,4416.4,4949.95,3340.05,AIAENG
2024-09-23,4270.0,4355.55,4270.0,4293.7,4949.95,3340.05,AIAENG
2024-09-20,4266.2,4338.55,4223.15,4294.8,4949.95,3340.05,AIAENG
2024-09-19,4300.05,4325.35,4232.3,4243.9,4949.95,3340.05,AIAENG
2024-09-18,4320.85,4337.95,4260.0,4306.75,4949.95,3340.05,AIAENG
2024-09-17,4307.0,4341.0,4275.0,4325.95,4949.95,3340.05,AIAENG
2024-09-16,4340.3,4358.0,4286.0,4307.1,4949.95,3340.05,AIAENG
2024-09-13,4343.1,4374.55,4321.0,4336.5,4949.95,3340.05,AIAENG
2024-09-12,4300.0,4363.0,4282.3,4320.4,4949.95,3340.05,AIAENG
2024-09-11,4385.9,4419.2,4285.4,4311.4,4949.95,3340.05,AIAENG
2024-09-10,4248.8,4396.0,4248.8,4384.45,4949.95,3340.05,AIAENG
2024-09-09,4300.0,4334.85,4209.2,4237.4,4949.95,3340.05,AIAENG
2024-09-06,4398.45,4414.85,4288.0,4343.5,4949.95,3340.05,AIAENG
2024-09-05,4385.0,4432.45,4330.4,4360.45,4949.95,3340.05,AIAENG
2024-09-04,4449.9,4449.9,4321.2,4385.9,4949.95,3340.05,AIAENG
2024-09-03,4320.0,4417.0,4319.1,4398.15,4949.95,3340.05,AIAENG
2024-09-02,4317.9,4346.9,4285.05,4320.45,4949.95,3340.05,AIAENG
2024-08-30,4333.0,4390.0,4282.95,4295.25,4949.95,3340.05,AIAENG
2024-08-29,4359.3,4375.75,4321.0,4333.1,4949.95,3340.05,AIAENG
2024-08-28,4408.0,4466.0,4330.0,4359.3,4949.95,3340.05,AIAENG
2024-08-27,4450.35,4463.95,4365.9,4384.95,4949.95,3340.05,AIAENG
2024-08-26,4450.0,4498.0,4385.0,4450.25,4949.95,3340.05,AIAENG
2024-08-23,4423.5,4451.0,4359.3,4422.35,4949.95,3340.05,AIAENG
2024-08-22,4464.0,4488.8,4388.0,4400.35,4949.95,3340.05,AIAENG
2024-08-21,4506.0,4527.85,4430.0,4448.95,4949.95,3340.05,AIAENG
2024-08-20,4504.0,4559.0,4461.0,4527.95,4949.95,3340.05,AIAENG
2024-08-19,4593.3,4641.25,4575.75,4595.9,4949.95,3340.05,AIAENG
2024-08-16,4570.0,4624.0,4521.85,4550.35,4949.95,3340.05,AIAENG
2024-08-14,4600.0,4618.85,4531.65,4561.85,4949.95,3340.05,AIAENG
2024-08-13,4780.0,4780.0,4441.85,4547.2,4949.95,3340.05,AIAENG
2024-08-12,4741.95,4949.95,4741.9,4813.35,4949.95,3340.05,AIAENG
2024-08-09,4638.6,4748.0,4615.0,4708.1,4795.0,3340.05,AIAENG
2024-08-08,4500.0,4615.5,4500.0,4593.3,4795.0,3340.05,AIAENG
2024-08-07,4522.0,4697.0,4410.55,4471.0,4795.0,3340.05,AIAENG
2024-08-06,4359.05,4591.2,4359.05,4463.4,4795.0,3340.05,AIAENG
2024-08-05,4450.05,4450.1,4295.0,4359.5,4795.0,3340.05,AIAENG
2024-08-02,4511.1,4535.0,4467.6,4499.05,4795.0,3326.0,AIAENG
2024-08-01,4645.7,4666.1,4488.0,4516.3,4795.0,3326.0,AIAENG
2024-07-31,4699.0,4795.0,4600.25,4621.35,4795.0,3326.0,AIAENG
2024-07-30,4579.3,4690.0,4573.0,4660.75,4699.95,3326.0,AIAENG
2024-07-29,4418.7,4699.0,4418.7,4539.7,4699.95,3326.0,AIAENG
2024-07-26,4256.8,4430.95,4256.8,4395.55,4699.95,3326.0,AIAENG
2024-07-25,4302.3,4329.9,4240.0,4251.35,4699.95,3326.0,AIAENG
2024-07-24,4311.8,4371.95,4291.05,4339.85,4699.95,3326.0,AIAENG
2024-07-23,4370.0,4403.55,4248.25,4305.5,4699.95,3326.0,AIAENG
2024-07-22,4265.0,4537.1,4225.5,4398.1,4699.95,3326.0,AIAENG
2024-07-19,4232.3,4699.95,4232.3,4272.7,4699.95,3326.0,AIAENG
2024-07-18,4262.05,4296.95,4203.05,4226.8,4630.0,3326.0,AIAENG
2024-07-16,4212.0,4295.2,4200.0,4256.2,4630.0,3326.0,AIAENG
2024-07-15,4260.0,4292.9,4186.9,4210.0,4630.0,3326.0,AIAENG
2024-07-12,4260.0,4340.95,4237.15,4251.0,4630.0,3182.0,AIAENG
2024-07-11,4290.5,4308.2,4215.0,4277.2,4630.0,3182.0,AIAENG
2024-07-10,4407.3,4408.2,4235.0,4290.5,4630.0,3182.0,AIAENG
2024-07-09,4205.6,4424.0,4205.6,4407.3,4630.0,3182.0,AIAENG
2024-07-08,4262.35,4278.9,4167.7,4205.6,4630.0,3182.0,AIAENG
2024-07-05,4248.75,4293.1,4224.7,4262.35,4630.0,3100.75,AIAENG
2024-07-04,4253.15,4273.95,4215.0,4248.45,4630.0,3100.75,AIAENG
2024-07-03,4232.45,4269.5,4204.05,4246.0,4630.0,3100.75,AIAENG
2024-07-02,4229.4,4280.0,4187.6,4215.5,4630.0,3100.75,AIAENG
2024-07-01,4222.85,4327.2,4171.0,4212.5,4630.0,3100.75,AIAENG
2024-06-28,4104.95,4199.0,4104.95,4178.55,4630.0,3100.75,AIAENG
2024-06-27,4221.4,4229.15,4051.1,4095.05,4630.0,3100.75,AIAENG
2024-06-26,4226.15,4290.0,4160.6,4207.05,4630.0,3100.75,AIAENG
2024-06-25,4297.35,4336.9,4195.0,4208.05,4630.0,3100.75,AIAENG
2024-06-24,4250.3,4325.6,4226.7,4296.1,4630.0,3100.75,AIAENG
2024-06-21,4210.0,4292.0,4155.05,4250.3,4630.0,3100.75,AIAENG
2024-06-20,4236.0,4272.0,4204.95,4244.5,4630.0,3100.75,AIAENG
2024-06-19,4121.6,4339.7,4100.0,4271.55,4630.0,3100.75,AIAENG
2024-06-18,4022.95,4129.85,3965.2,4121.6,4630.0,3100.75,AIAENG
2024-06-14,3829.8,4005.0,3829.8,3976.8,4630.0,3100.75,AIAENG
2024-06-13,3846.0,3877.0,3812.05,3825.8,4630.0,3100.75,AIAENG
2024-06-12,3838.0,3850.0,3741.0,3825.85,4630.0,3100.75,AIAENG
2024-06-11,3776.15,3840.6,3741.45,3802.7,4630.0,3100.75,AIAENG
2024-06-10,3733.0,3791.95,3708.05,3774.95,4630.0,3100.75,AIAENG
2024-06-07,3689.2,3743.25,3640.0,3730.2,4630.0,3002.0,AIAENG
2024-06-06,3664.15,3749.0,3648.1,3669.9,4630.0,3002.0,AIAENG
2024-06-05,3677.55,3710.0,3583.4,3660.35,4630.0,3002.0,AIAENG
2024-06-04,3716.0,3720.35,3567.35,3688.5,4630.0,3002.0,AIAENG
2024-06-03,3725.0,3742.0,3656.3,3684.0,4630.0,3002.0,AIAENG
2024-05-31,3688.1,3745.95,3643.5,3676.3,4630.0,2761.0,AIAENG
2024-05-30,3665.0,3711.7,3625.0,3688.1,4630.0,2761.0,AIAENG
2024-05-29,3686.85,3703.3,3660.0,3674.5,4630.0,2761.0,AIAENG
2024-05-28,3720.0,3721.2,3673.55,3686.85,4630.0,2761.0,AIAENG
2024-05-27,3736.25,3746.0,3675.1,3720.25,4630.0,2761.0,AIAENG
2024-05-24,3690.85,3748.95,3666.55,3736.25,4630.0,2761.0,AIAENG
2024-05-23,3647.6,3710.0,3647.6,3690.85,4630.0,2761.0,AIAENG
2024-05-22,3756.95,3756.95,3592.05,3647.6,4630.0,2761.0,AIAENG
2024-05-21,3809.8,3811.95,3720.15,3743.6,4630.0,2761.0,AIAENG
2024-05-18,3800.0,3811.0,3784.5,3802.8,4630.0,2711.9,AIAENG
2024-05-17,3752.0,3825.0,3730.0,3792.65,4630.0,2711.9,AIAENG
2024-05-16,3756.95,3839.0,3709.0,3743.6,4630.0,2711.9,AIAENG
2024-05-15,3760.0,3807.85,3646.05,3755.45,4630.0,2711.9,AIAENG
2024-05-14,3784.0,3860.0,3701.05,3774.5,4630.0,2711.9,AIAENG
2024-05-13,3777.65,3814.05,3720.15,3774.6,4630.0,2711.9,AIAENG
2024-05-10,3793.95,3800.0,3745.0,3764.3,4630.0,2664.45,AIAENG
2024-05-09,3802.45,3816.8,3755.0,3786.9,4630.0,2664.45,AIAENG
2024-05-08,3824.15,3851.7,3741.6,3796.85,4630.0,2664.45,AIAENG
2024-05-07,3790.0,3897.9,3766.05,3804.95,4630.0,2664.45,AIAENG
2024-05-06,3715.0,3799.0,3715.0,3763.5,4630.0,2664.45,AIAENG
2024-05-03,3780.0,3780.0,3700.0,3708.5,4630.0,2664.45,AIAENG
2024-05-02,3785.0,3844.7,3760.0,3780.2,4630.0,2664.45,AIAENG
2024-04-30,3783.0,3903.95,3777.05,3797.2,4630.0,2664.45,AIAENG
2024-04-29,3904.6,3928.8,3755.55,3771.85,4630.0,2664.45,AIAENG
2024-04-26,3935.3,3935.3,3862.3,3904.5,4630.0,2620.0,AIAENG
2024-04-25,3887.9,3950.0,3852.4,3914.7,4630.0,2620.0,AIAENG
2024-04-24,3833.3,3928.95,3833.3,3887.2,4630.0,2620.0,AIAENG
2024-04-23,3865.55,3877.6,3812.6,3843.2,4630.0,2620.0,AIAENG
2024-04-22,3860.0,3893.85,3832.0,3845.35,4630.0,2620.0,AIAENG
2024-04-19,3830.0,3874.2,3773.4,3834.75,4630.0,2620.0,AIAENG
2024-04-18,3828.95,3877.9,3812.0,3833.95,4630.0,2620.0,AIAENG
2024-04-16,3800.0,3864.2,3800.0,3815.05,4630.0,2620.0,AIAENG
2024-04-15,3900.0,3917.95,3800.0,3808.15,4630.0,2620.0,AIAENG
2024-04-12,4025.0,4037.9,3901.0,3923.6,4630.0,2620.0,AIAENG
2024-04-10,4110.25,4130.55,3982.65,4010.85,4630.0,2620.0,AIAENG
2024-04-09,4093.05,4206.4,4085.3,4100.0,4630.0,2620.0,AIAENG
2024-04-08,4075.0,4181.95,4010.0,4093.15,4630.0,2620.0,AIAENG
2024-04-05,3976.6,4040.0,3950.0,3995.65,4630.0,2620.0,AIAENG
2024-04-04,3985.0,4030.6,3915.0,3976.65,4630.0,2620.0,AIAENG
2024-04-03,4023.8,4044.0,3957.8,3984.65,4630.0,2620.0,AIAENG
2024-04-02,3928.25,4049.95,3928.25,4023.8,4630.0,2620.0,AIAENG
2024-04-01,3935.9,3997.85,3865.0,3988.05,4630.0,2620.0,AIAENG
2024-03-28,3885.0,3975.0,3735.1,3915.25,4630.0,2620.0,AIAENG
2024-03-27,3812.0,3934.9,3800.0,3886.3,4630.0,2620.0,AIAENG
2024-03-26,3803.9,3812.2,3722.0,3801.05,4630.0,2620.0,AIAENG
2024-03-22,3734.75,3819.5,3692.1,3796.45,4630.0,2620.0,AIAENG
2024-03-21,3640.0,3763.4,3640.0,3716.55,4630.0,2620.0,AIAENG
2024-03-20,3627.6,3662.7,3600.1,3642.9,4630.0,2620.0,AIAENG
2024-03-19,3648.85,3655.0,3582.0,3645.9,4630.0,2620.0,AIAENG
2024-03-18,3614.95,3647.9,3573.05,3636.85,4630.0,2620.0,AIAENG
2024-03-15,3616.0,3659.65,3565.5,3616.1,4630.0,2620.0,AIAENG
2024-03-14,3621.0,3632.0,3578.3,3616.0,4630.0,2620.0,AIAENG
2024-03-13,3685.65,3692.95,3554.1,3629.85,4630.0,2620.0,AIAENG
2024-03-12,3652.35,3709.95,3622.35,3694.9,4630.0,2620.0,AIAENG
2024-03-11,3708.5,3716.5,3645.0,3672.35,4630.0,2620.0,AIAENG
2024-03-07,3670.0,3720.0,3632.0,3699.15,4630.0,2620.0,AIAENG
2024-03-06,3718.95,3735.0,3612.3,3653.4,4630.0,2620.0,AIAENG
2024-03-05,3685.0,3740.0,3673.45,3715.2,4630.0,2620.0,AIAENG
2024-03-04,3765.0,3765.0,3662.4,3714.05,4630.0,2620.0,AIAENG
2024-03-02,3686.5,3733.4,3683.25,3713.3,4630.0,2620.0,AIAENG
2024-03-01,3643.0,3745.05,3635.25,3686.45,4630.0,2620.0,AIAENG
2024-02-29,3683.3,3695.0,3634.9,3645.5,4630.0,2620.0,AIAENG
2024-02-28,3800.0,3811.6,3690.0,3703.25,4630.0,2620.0,AIAENG
2024-02-27,3710.0,3818.7,3680.0,3791.8,4630.0,2620.0,AIAENG
2024-02-26,3729.95,3750.2,3685.0,3721.9,4630.0,2620.0,AIAENG
2024-02-23,3748.4,3765.6,3715.25,3743.4,4630.0,2620.0,AIAENG
2024-02-22,3797.7,3817.7,3722.15,3748.5,4630.0,2620.0,AIAENG
2024-02-21,3875.0,3875.0,3770.0,3797.7,4630.0,2620.0,AIAENG
2024-02-20,3922.0,3922.0,3851.05,3876.25,4630.0,2620.0,AIAENG
2024-02-19,3864.0,3970.0,3840.05,3922.65,4630.0,2620.0,AIAENG
2024-02-16,3830.25,3909.0,3830.0,3859.9,4630.0,2620.0,AIAENG
2024-02-15,3931.6,3945.0,3815.0,3846.1,4630.0,2620.0,AIAENG
2024-02-14,3950.0,3966.55,3897.05,3931.55,4630.0,2620.0,AIAENG
2024-02-13,3907.0,3990.0,3756.05,3969.25,4630.0,2620.0,AIAENG
2024-02-12,3940.0,3978.6,3900.0,3932.6,4630.0,2620.0,AIAENG
2024-02-09,3964.95,3965.0,3814.0,3936.4,4630.0,2620.0,AIAENG
2024-02-08,4033.4,4119.0,3885.0,3935.55,4630.0,2620.0,AIAENG
2024-02-07,4408.0,4542.45,4038.6,4129.35,4630.0,2620.0,AIAENG
2024-02-06,4377.0,4444.95,4302.1,4423.05,4630.0,2620.0,AIAENG
2024-02-05,4468.25,4479.0,4272.0,4323.2,4630.0,2620.0,AIAENG
2024-02-02,4329.75,4591.2,4289.0,4461.2,4630.0,2570.0,AIAENG
2024-02-01,4074.0,4630.0,3986.15,4356.4,4630.0,2570.0,AIAENG
2024-01-31,3893.25,4235.0,3893.2,4107.35,4235.0,2570.0,AIAENG
2024-01-30,4035.0,4040.0,3840.0,3884.65,4096.0,2570.0,AIAENG
2024-01-29,3939.0,4096.0,3931.55,4026.8,4096.0,2570.0,AIAENG
2024-01-25,3825.0,3989.0,3825.0,3894.9,3989.0,2420.65,AIAENG
2024-01-24,3625.1,3909.75,3600.05,3811.5,3909.75,2420.65,AIAENG
2024-01-23,3708.95,3710.0,3620.0,3635.9,3847.2,2420.65,AIAENG
2024-01-20,3739.75,3739.75,3661.55,3673.75,3847.2,2383.5,AIAENG
2024-01-19,3648.15,3735.0,3646.05,3713.35,3847.2,2383.5,AIAENG
2024-01-18,3718.0,3815.45,3601.0,3648.15,3847.2,2383.5,AIAENG
2024-01-17,3715.5,3744.0,3668.05,3717.75,3847.2,2383.5,AIAENG
2024-01-16,3707.8,3739.95,3655.55,3716.0,3847.2,2383.5,AIAENG
2024-01-15,3767.1,3781.95,3685.65,3708.8,3847.2,2383.5,AIAENG
2024-01-12,3722.65,3796.0,3714.8,3747.35,3847.2,2383.5,AIAENG
2024-01-11,3755.85,3787.15,3680.45,3716.05,3847.2,2383.5,AIAENG
2024-01-10,3625.0,3847.2,3601.1,3755.85,3847.2,2383.5,AIAENG
2024-01-09,3620.0,3663.9,3601.55,3626.2,3830.0,2383.5,AIAENG
2024-01-08,3650.0,3660.0,3580.0,3608.9,3830.0,2383.5,AIAENG
