DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,60.42,61.15,60.42,60.75,61.48,48.71,UTIBANKETF
2025-11-21,61.48,61.48,60.54,60.69,61.48,48.71,UTIBANKETF
2025-11-20,61.27,61.34,60.95,61.25,61.34,48.71,UTIBANKETF
2025-11-19,60.31,61.13,60.31,60.95,61.13,48.71,UTIBANKETF
2025-11-18,60.8,61.04,60.37,60.84,61.04,48.71,UTIBANKETF
2025-11-17,59.86,60.94,59.86,60.85,60.94,48.71,UTIBANKETF
2025-11-14,60.18,60.33,59.77,60.27,60.49,48.71,UTIBANKETF
2025-11-13,60.49,60.49,59.96,60.15,60.49,48.71,UTIBANKETF
2025-11-12,60.24,60.32,59.92,59.99,60.44,48.71,UTIBANKETF
2025-11-11,58.39,60.04,58.39,59.85,60.44,48.71,UTIBANKETF
2025-11-10,59.73,60.2,59.7,59.89,60.44,48.71,UTIBANKETF
2025-11-07,59.95,59.95,58.98,59.64,60.44,48.71,UTIBANKETF
2025-11-06,59.95,59.95,59.34,59.36,60.44,48.71,UTIBANKETF
2025-11-04,58.45,59.95,58.45,59.66,60.44,48.71,UTIBANKETF
2025-11-03,59.86,60.04,59.49,59.95,60.44,48.71,UTIBANKETF
2025-10-31,59.78,60.25,59.53,59.67,60.44,48.71,UTIBANKETF
2025-10-30,60.44,60.44,59.9,59.94,60.44,48.71,UTIBANKETF
2025-10-29,60.21,60.33,59.95,60.14,60.4,48.71,UTIBANKETF
2025-10-28,59.99,60.25,59.6,59.95,60.4,48.71,UTIBANKETF
2025-10-27,59.21,60.09,59.2,59.97,60.4,48.71,UTIBANKETF
2025-10-24,59.3,59.99,59.3,59.56,60.4,48.71,UTIBANKETF
2025-10-23,59.9,60.39,59.68,59.8,60.4,48.71,UTIBANKETF
2025-10-21,58.28,60.24,58.28,59.8,60.4,48.71,UTIBANKETF
2025-10-20,59.44,60.06,59.44,59.78,60.4,48.71,UTIBANKETF
2025-10-17,59.1,59.61,58.91,59.44,60.4,48.71,UTIBANKETF
2025-10-16,56.74,59.22,56.74,59.13,60.4,48.71,UTIBANKETF
2025-10-15,58.22,58.6,58.22,58.49,60.4,48.71,UTIBANKETF
2025-10-14,58.64,58.64,58.02,58.22,60.4,48.71,UTIBANKETF
2025-10-13,58.08,58.77,57.99,58.41,60.4,48.71,UTIBANKETF
2025-10-10,57.95,58.49,57.95,58.32,60.4,48.71,UTIBANKETF
2025-10-09,58.18,58.19,57.61,58.0,60.4,48.71,UTIBANKETF
2025-10-08,58.0,58.14,57.52,57.82,60.4,48.71,UTIBANKETF
2025-10-07,58.05,58.22,57.79,57.94,60.4,48.71,UTIBANKETF
2025-10-06,57.85,58.0,56.97,57.89,60.4,48.71,UTIBANKETF
2025-10-03,57.37,57.48,56.91,57.36,60.4,48.71,UTIBANKETF
2025-10-01,56.88,57.2,56.37,57.16,60.4,48.71,UTIBANKETF
2025-09-30,56.17,56.64,56.01,56.43,60.4,48.71,UTIBANKETF
2025-09-29,56.29,56.49,56.04,56.17,60.4,48.71,UTIBANKETF
2025-09-26,56.41,56.75,56.1,56.2,60.4,48.71,UTIBANKETF
2025-09-25,56.51,57.24,56.51,56.79,60.4,48.71,UTIBANKETF
2025-09-24,57.29,57.29,56.81,56.96,60.4,48.71,UTIBANKETF
2025-09-23,57.58,57.58,56.8,57.17,60.4,48.71,UTIBANKETF
2025-09-22,56.9,57.52,56.9,57.14,60.4,48.71,UTIBANKETF
2025-09-19,57.42,57.88,56.93,57.09,60.4,48.71,UTIBANKETF
2025-09-18,57.51,57.58,57.2,57.41,60.4,48.71,UTIBANKETF
2025-09-17,56.98,57.38,56.71,57.23,60.4,48.71,UTIBANKETF
2025-09-16,55.12,56.94,55.12,56.86,60.4,48.71,UTIBANKETF
2025-09-15,56.78,56.95,56.16,56.54,60.4,48.71,UTIBANKETF
2025-09-12,56.25,56.88,56.25,56.5,60.4,48.71,UTIBANKETF
2025-09-11,56.8,56.8,55.77,56.28,60.4,48.71,UTIBANKETF
2025-09-10,55.71,56.44,55.7,56.35,60.4,48.71,UTIBANKETF
2025-09-09,56.21,56.47,55.47,55.99,60.4,48.71,UTIBANKETF
2025-09-08,54.5,57.58,54.5,55.94,60.4,48.71,UTIBANKETF
2025-09-05,55.5,56.03,55.41,55.9,60.4,48.71,UTIBANKETF
2025-09-04,55.9,56.19,55.67,55.74,60.4,48.71,UTIBANKETF
2025-09-03,54.06,55.93,54.06,55.72,60.4,48.71,UTIBANKETF
2025-09-02,55.51,56.23,55.35,55.45,60.4,48.71,UTIBANKETF
2025-09-01,55.59,55.9,55.01,55.7,60.4,48.71,UTIBANKETF
2025-08-29,55.54,55.99,55.26,55.31,60.4,48.71,UTIBANKETF
2025-08-28,56.68,56.68,55.55,55.59,60.4,48.71,UTIBANKETF
2025-08-26,57.0,57.39,56.05,56.15,60.4,48.71,UTIBANKETF
2025-08-25,56.59,57.08,56.5,56.95,60.4,48.71,UTIBANKETF
2025-08-22,59.26,59.26,56.81,56.89,60.4,48.71,UTIBANKETF
2025-08-21,57.87,57.88,57.36,57.53,60.4,48.71,UTIBANKETF
2025-08-20,57.74,57.74,57.25,57.35,60.4,48.71,UTIBANKETF
2025-08-19,57.89,57.89,57.21,57.51,60.4,48.71,UTIBANKETF
2025-08-18,56.74,57.85,56.73,57.48,60.4,48.71,UTIBANKETF
2025-08-14,57.11,57.15,56.75,56.99,60.4,48.71,UTIBANKETF
2025-08-13,58.28,58.28,56.69,56.92,60.4,48.71,UTIBANKETF
2025-08-12,57.53,57.54,56.76,56.86,60.4,48.71,UTIBANKETF
2025-08-11,55.23,58.06,55.23,57.0,60.4,48.71,UTIBANKETF
2025-08-08,57.24,57.76,56.55,56.65,60.4,48.71,UTIBANKETF
2025-08-07,57.47,57.47,56.52,57.25,60.4,48.71,UTIBANKETF
2025-08-06,58.39,58.39,56.8,57.06,60.4,48.71,UTIBANKETF
2025-08-05,57.11,57.68,56.8,56.97,60.4,48.71,UTIBANKETF
2025-08-04,57.19,57.43,56.86,57.21,60.4,48.71,UTIBANKETF
2025-08-01,57.25,57.83,56.06,57.2,60.4,48.71,UTIBANKETF
2025-07-31,57.9,58.04,57.19,57.5,60.4,48.71,UTIBANKETF
2025-07-30,58.42,58.42,57.68,57.76,60.4,48.71,UTIBANKETF
2025-07-29,58.24,58.24,57.49,57.91,60.4,48.71,UTIBANKETF
2025-07-28,59.64,59.64,57.64,57.72,60.4,48.71,UTIBANKETF
2025-07-25,58.62,58.81,58.03,58.19,60.4,48.71,UTIBANKETF
2025-07-24,60.21,60.21,58.5,58.61,60.4,48.71,UTIBANKETF
2025-07-23,59.82,59.82,58.31,58.75,60.4,48.71,UTIBANKETF
2025-07-22,58.94,58.96,58.22,58.37,60.4,48.71,UTIBANKETF
2025-07-21,57.96,58.75,57.67,58.65,60.4,48.71,UTIBANKETF
2025-07-18,58.33,58.53,57.2,57.92,60.4,48.71,UTIBANKETF
2025-07-17,59.05,59.05,58.33,58.34,60.4,48.71,UTIBANKETF
2025-07-16,58.76,58.89,58.51,58.66,60.4,48.71,UTIBANKETF
2025-07-15,58.88,58.88,58.41,58.56,60.4,48.71,UTIBANKETF
2025-07-14,58.88,58.88,58.17,58.41,60.4,48.71,UTIBANKETF
2025-07-11,58.91,58.91,58.05,58.45,60.4,48.71,UTIBANKETF
2025-07-10,58.95,59.28,58.51,58.54,60.4,48.71,UTIBANKETF
2025-07-09,58.99,58.99,58.62,58.76,60.4,48.71,UTIBANKETF
2025-07-08,59.92,59.92,58.52,58.75,60.4,48.71,UTIBANKETF
2025-07-07,58.97,58.97,58.33,58.46,60.4,48.71,UTIBANKETF
2025-07-04,58.37,58.88,58.15,58.54,60.4,48.71,UTIBANKETF
2025-07-03,58.48,59.08,58.19,58.3,60.4,48.71,UTIBANKETF
2025-07-02,59.36,59.57,58.34,58.48,60.4,48.71,UTIBANKETF
2025-07-01,60.4,60.4,58.72,59.07,60.4,48.71,UTIBANKETF
2025-06-30,59.75,59.75,58.7,58.93,60.0,48.71,UTIBANKETF
2025-06-27,60.0,60.0,58.54,59.19,60.0,48.71,UTIBANKETF
2025-06-26,58.28,58.61,57.64,58.54,58.68,48.71,UTIBANKETF
2025-06-25,57.56,58.17,57.56,57.94,58.68,48.71,UTIBANKETF
2025-06-24,57.9,58.2,57.36,57.8,58.68,48.71,UTIBANKETF
2025-06-23,56.15,57.92,56.15,57.35,58.68,48.71,UTIBANKETF
2025-06-20,57.38,57.68,56.87,57.59,58.68,48.71,UTIBANKETF
2025-06-19,57.06,57.58,56.79,56.87,58.68,48.71,UTIBANKETF
2025-06-18,58.45,58.45,56.95,57.12,58.68,48.71,UTIBANKETF
2025-06-17,57.7,57.87,56.98,57.03,58.68,48.71,UTIBANKETF
2025-06-16,57.5,57.5,56.68,57.42,58.68,48.71,UTIBANKETF
2025-06-13,56.75,57.29,56.5,56.87,58.68,48.71,UTIBANKETF
2025-06-12,58.24,58.24,57.39,57.46,58.68,48.71,UTIBANKETF
2025-06-11,58.48,58.48,57.9,57.96,58.68,48.71,UTIBANKETF
2025-06-10,57.91,58.53,57.91,58.15,58.68,47.58,UTIBANKETF
2025-06-09,56.66,58.68,56.66,58.23,58.68,47.58,UTIBANKETF
2025-06-06,57.44,58.19,56.9,58.12,58.19,47.58,UTIBANKETF
2025-06-05,57.44,57.44,56.93,57.13,57.52,47.58,UTIBANKETF
2025-06-04,57.35,57.35,56.52,56.98,57.52,47.58,UTIBANKETF
2025-06-03,57.39,57.4,56.8,57.0,57.52,47.58,UTIBANKETF
2025-06-02,57.32,57.34,56.5,57.23,57.52,47.58,UTIBANKETF
2025-05-30,57.34,57.34,56.81,57.04,57.52,47.58,UTIBANKETF
2025-05-29,56.95,57.27,56.4,56.92,57.52,47.58,UTIBANKETF
2025-05-28,56.25,57.08,56.25,56.7,57.52,47.58,UTIBANKETF
2025-05-27,56.81,57.37,56.33,56.74,57.52,47.58,UTIBANKETF
2025-05-26,56.68,57.4,56.68,56.9,57.52,47.58,UTIBANKETF
2025-05-23,56.31,56.84,56.14,56.67,57.52,47.58,UTIBANKETF
2025-05-22,56.66,56.87,55.83,56.29,57.52,47.58,UTIBANKETF
2025-05-21,56.03,56.95,56.03,56.38,57.52,47.58,UTIBANKETF
2025-05-20,56.79,57.13,56.19,56.38,57.52,47.58,UTIBANKETF
2025-05-19,56.7,57.04,56.52,56.74,57.52,47.58,UTIBANKETF
2025-05-16,57.32,57.32,56.27,56.65,57.52,47.58,UTIBANKETF
2025-05-15,55.81,56.91,55.81,56.77,57.52,47.58,UTIBANKETF
2025-05-14,55.8,56.46,55.8,56.11,57.52,47.58,UTIBANKETF
2025-05-13,57.03,57.03,56.21,56.35,57.52,47.58,UTIBANKETF
2025-05-12,55.04,56.7,55.04,56.62,57.52,47.58,UTIBANKETF
2025-05-09,55.23,55.29,53.63,54.75,57.52,47.58,UTIBANKETF
2025-05-08,56.4,56.4,55.4,55.51,57.52,47.58,UTIBANKETF
2025-05-07,55.69,55.97,55.17,55.81,57.52,47.58,UTIBANKETF
