DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-12-20,133.0,133.0,127.5,128.5,150.79,96.17,CINELINE
2024-12-19,128.02,135.0,128.02,131.97,150.79,96.17,CINELINE
2024-12-18,137.0,137.0,131.11,133.34,150.79,96.17,CINELINE
2024-12-17,133.0,137.7,130.6,135.56,150.79,96.17,CINELINE
2024-12-16,131.0,139.44,130.79,131.35,150.79,96.17,CINELINE
2024-12-13,129.05,133.78,126.48,128.3,150.79,96.17,CINELINE
2024-12-12,137.0,140.0,129.0,130.09,150.79,96.17,CINELINE
2024-12-11,147.8,148.7,134.51,135.97,150.79,96.17,CINELINE
2024-12-10,118.54,142.32,117.66,142.32,150.79,96.17,CINELINE
2024-12-09,118.27,120.79,117.2,118.6,150.79,96.17,CINELINE
2024-12-06,117.98,120.0,117.02,118.27,150.79,96.17,CINELINE
2024-12-05,116.84,118.0,115.03,115.62,150.79,96.17,CINELINE
2024-12-04,113.0,118.61,111.15,113.47,150.79,96.17,CINELINE
2024-12-03,113.3,114.62,111.72,112.41,150.79,96.17,CINELINE
2024-12-02,110.0,114.16,108.98,112.07,150.79,96.17,CINELINE
2024-11-29,112.9,112.9,108.49,111.03,150.79,96.17,CINELINE
2024-11-28,100.01,119.0,100.01,111.57,150.79,96.17,CINELINE
2024-11-27,100.0,103.15,98.52,100.03,150.79,96.17,CINELINE
2024-11-26,102.01,103.75,97.95,100.58,150.79,96.17,CINELINE
2024-11-25,105.0,105.4,99.51,100.91,150.79,96.17,CINELINE
2024-11-22,99.0,105.16,99.0,101.19,150.79,96.17,CINELINE
2024-11-21,102.25,102.25,96.17,99.75,150.79,96.17,CINELINE
2024-11-19,103.0,103.0,98.2,99.8,150.79,98.2,CINELINE
2024-11-18,104.5,104.98,100.0,100.87,150.79,100.0,CINELINE
2024-11-14,106.26,106.67,103.0,104.5,150.79,101.0,CINELINE
2024-11-13,104.99,108.06,101.01,104.29,150.79,101.0,CINELINE
2024-11-12,105.21,106.59,103.43,104.73,150.79,101.0,CINELINE
2024-11-11,105.07,107.04,103.91,104.18,150.79,101.0,CINELINE
2024-11-08,106.37,107.75,105.01,107.04,150.79,101.0,CINELINE
2024-11-07,108.0,111.79,103.0,106.41,150.79,101.0,CINELINE
2024-11-06,106.1,107.85,103.64,107.0,150.79,101.0,CINELINE
2024-11-05,109.02,112.1,103.22,104.87,150.79,101.0,CINELINE
2024-11-04,110.6,113.0,107.0,110.01,150.79,101.0,CINELINE
2024-11-01,111.99,113.65,111.01,112.33,150.79,101.0,CINELINE
2024-10-31,113.71,114.31,108.51,109.89,150.79,101.0,CINELINE
2024-10-30,106.1,113.5,106.1,112.81,150.79,101.0,CINELINE
2024-10-29,104.87,112.0,104.05,109.92,150.79,101.0,CINELINE
2024-10-28,104.0,107.86,102.21,104.82,150.79,101.0,CINELINE
2024-10-25,108.04,108.25,101.0,103.93,150.79,101.0,CINELINE
2024-10-24,106.5,109.15,104.67,106.82,150.79,102.1,CINELINE
2024-10-23,104.06,109.9,102.51,107.53,150.79,102.1,CINELINE
2024-10-22,110.0,110.98,102.1,104.1,150.79,102.1,CINELINE
2024-10-21,111.1,111.39,109.5,110.11,150.79,104.55,CINELINE
2024-10-18,109.5,114.28,108.58,110.12,150.79,104.55,CINELINE
2024-10-17,110.73,110.73,109.0,109.89,150.79,104.55,CINELINE
2024-10-16,107.0,111.0,107.0,110.4,150.79,104.55,CINELINE
2024-10-15,111.79,111.79,106.6,107.86,150.79,104.55,CINELINE
2024-10-14,113.11,113.58,110.0,110.57,150.79,104.55,CINELINE
2024-10-11,110.38,114.1,110.0,113.09,150.79,104.55,CINELINE
2024-10-10,113.66,114.22,108.74,110.38,150.79,104.55,CINELINE
2024-10-09,109.1,114.76,108.8,113.66,150.79,104.55,CINELINE
2024-10-08,105.3,109.72,105.3,107.51,150.79,104.55,CINELINE
2024-10-07,115.8,116.0,104.55,106.36,150.79,104.55,CINELINE
2024-10-04,117.08,117.51,114.0,114.1,150.79,107.0,CINELINE
2024-10-03,117.04,120.0,116.64,118.14,150.79,107.0,CINELINE
2024-10-01,118.0,118.2,114.97,117.04,150.79,107.0,CINELINE
2024-09-30,117.78,118.68,115.51,116.42,150.79,107.0,CINELINE
2024-09-27,119.0,119.9,117.0,118.15,150.79,107.0,CINELINE
2024-09-26,122.0,122.69,116.99,118.76,150.79,107.0,CINELINE
2024-09-25,121.76,126.38,117.61,123.92,150.79,107.0,CINELINE
2024-09-24,117.55,121.8,117.55,120.07,150.79,107.0,CINELINE
2024-09-23,120.78,121.47,118.5,120.12,150.79,107.0,CINELINE
2024-09-20,121.0,122.98,118.5,119.6,150.79,107.0,CINELINE
2024-09-19,123.46,123.46,119.1,120.83,150.79,107.0,CINELINE
2024-09-18,128.47,128.47,121.25,121.71,150.79,107.0,CINELINE
2024-09-17,127.78,127.78,123.46,125.8,150.79,107.0,CINELINE
2024-09-16,127.4,128.99,124.0,125.25,150.79,107.0,CINELINE
2024-09-13,118.64,126.5,118.64,125.51,150.79,107.0,CINELINE
2024-09-12,118.55,122.41,118.18,118.64,150.79,107.0,CINELINE
2024-09-11,124.06,124.29,118.5,119.27,150.79,107.0,CINELINE
2024-09-10,123.08,126.1,121.23,124.08,150.79,107.0,CINELINE
2024-09-09,124.5,124.5,120.5,122.7,150.79,107.0,CINELINE
2024-09-06,123.9,126.0,121.11,124.31,150.79,107.0,CINELINE
2024-09-05,121.05,128.0,119.73,122.19,150.79,107.0,CINELINE
2024-09-04,121.93,121.93,118.5,119.2,150.79,107.0,CINELINE
2024-09-03,120.31,120.99,119.1,119.8,150.79,107.0,CINELINE
2024-09-02,121.0,123.41,118.92,120.09,150.79,107.0,CINELINE
2024-08-30,121.93,122.0,119.61,121.4,150.79,107.0,CINELINE
2024-08-29,123.0,123.0,121.54,121.93,150.79,107.0,CINELINE
2024-08-28,124.8,124.8,121.32,123.2,150.79,107.0,CINELINE
2024-08-27,122.27,123.0,120.63,122.38,150.79,107.0,CINELINE
2024-08-26,123.8,123.8,121.0,121.98,150.79,107.0,CINELINE
2024-08-23,125.0,126.0,121.51,122.44,150.79,107.0,CINELINE
2024-08-22,124.49,124.62,121.7,122.46,150.79,107.0,CINELINE
2024-08-21,124.2,124.54,122.57,123.76,150.79,107.0,CINELINE
2024-08-20,125.4,129.0,121.35,122.39,150.79,107.0,CINELINE
2024-08-19,125.0,126.9,120.11,126.38,150.79,107.0,CINELINE
2024-08-16,119.9,126.0,116.81,123.06,150.79,107.0,CINELINE
2024-08-14,118.25,120.0,115.05,116.33,150.79,107.0,CINELINE
2024-08-13,124.15,124.8,117.0,120.77,150.79,107.0,CINELINE
2024-08-12,122.53,125.33,120.22,123.84,150.79,107.0,CINELINE
2024-08-09,121.79,124.12,120.86,121.95,150.79,107.0,CINELINE
2024-08-08,124.05,124.21,120.2,121.09,150.79,107.0,CINELINE
2024-08-07,122.9,124.0,121.37,123.05,150.79,107.0,CINELINE
2024-08-06,122.7,127.93,122.29,122.78,150.79,107.0,CINELINE
2024-08-05,122.9,125.0,120.6,122.7,150.79,107.0,CINELINE
2024-08-02,128.25,130.0,126.21,127.79,150.79,107.0,CINELINE
2024-08-01,129.8,131.16,128.5,129.5,150.79,107.0,CINELINE
2024-07-31,129.34,132.0,129.31,130.84,150.79,107.0,CINELINE
2024-07-30,132.0,132.0,128.01,129.29,150.79,107.0,CINELINE
2024-07-29,132.5,132.5,126.99,131.11,150.79,107.0,CINELINE
2024-07-26,120.3,132.98,120.3,128.15,150.79,107.0,CINELINE
2024-07-25,125.95,129.38,125.11,125.71,150.79,107.0,CINELINE
2024-07-24,126.43,131.78,125.68,127.45,150.79,107.0,CINELINE
2024-07-23,127.34,128.73,122.01,124.77,150.79,107.0,CINELINE
2024-07-22,131.4,134.18,107.0,125.58,150.79,107.0,CINELINE
2024-07-19,139.73,140.15,133.0,133.41,150.79,112.8,CINELINE
2024-07-18,141.0,143.18,139.21,140.53,150.79,112.8,CINELINE
2024-07-16,147.05,147.05,140.55,140.73,150.79,112.8,CINELINE
2024-07-15,144.0,145.5,141.5,144.9,150.79,112.8,CINELINE
2024-07-12,143.25,150.79,139.88,143.34,150.79,112.8,CINELINE
2024-07-11,136.0,146.95,134.37,141.63,147.0,112.8,CINELINE
2024-07-10,135.48,139.0,130.55,135.18,147.0,112.8,CINELINE
2024-07-09,133.7,137.08,133.0,133.55,147.0,112.8,CINELINE
2024-07-08,135.3,138.72,130.75,135.03,147.0,112.8,CINELINE
2024-07-05,132.6,134.92,132.0,133.91,147.0,112.8,CINELINE
2024-07-04,134.5,135.86,132.0,132.6,147.0,112.8,CINELINE
2024-07-03,134.63,137.0,132.41,134.49,147.0,112.8,CINELINE
2024-07-02,133.1,136.38,130.5,134.77,147.0,112.8,CINELINE
2024-07-01,129.7,134.99,129.66,133.07,147.0,112.8,CINELINE
2024-06-28,130.37,134.96,127.52,129.09,147.0,112.8,CINELINE
2024-06-27,135.45,139.1,129.5,130.37,147.0,112.8,CINELINE
2024-06-26,143.65,144.9,133.81,135.43,147.0,112.8,CINELINE
2024-06-25,141.56,147.0,139.59,141.53,147.0,112.8,CINELINE
2024-06-24,130.36,142.5,128.87,141.11,143.05,112.8,CINELINE
2024-06-21,131.78,132.05,128.0,131.45,143.05,112.8,CINELINE
2024-06-20,129.81,134.19,127.0,128.72,143.05,112.8,CINELINE
2024-06-19,132.7,133.96,126.0,129.81,143.05,112.8,CINELINE
