DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-09-11,11.1,11.1,10.72,10.8,12.14,9.17,GROWWNET
2025-09-10,11.08,11.08,10.71,10.83,12.14,9.17,GROWWNET
2025-09-09,11.14,11.14,10.76,10.81,12.14,9.17,GROWWNET
2025-09-08,11.1,11.15,10.81,10.87,12.14,9.17,GROWWNET
2025-09-05,10.93,10.93,10.66,10.83,12.14,9.17,GROWWNET
2025-09-04,11.1,11.1,10.71,10.74,12.14,9.17,GROWWNET
2025-09-03,10.97,10.97,10.65,10.83,12.14,9.17,GROWWNET
2025-09-02,10.95,10.95,10.6,10.71,12.14,9.17,GROWWNET
2025-09-01,10.74,10.74,10.4,10.69,12.14,9.17,GROWWNET
2025-08-29,10.85,10.85,10.44,10.48,12.14,9.17,GROWWNET
2025-08-28,11.0,11.0,10.55,10.59,12.14,9.17,GROWWNET
2025-08-26,11.15,11.15,10.68,10.74,12.14,9.17,GROWWNET
2025-08-25,11.13,11.13,10.81,10.88,12.14,9.17,GROWWNET
2025-08-22,11.18,11.18,10.8,10.86,12.14,9.17,GROWWNET
2025-08-21,11.25,11.25,10.87,10.91,12.14,9.17,GROWWNET
2025-08-20,10.99,11.04,10.79,10.98,12.14,9.17,GROWWNET
2025-08-19,10.79,10.96,10.55,10.87,12.14,9.17,GROWWNET
2025-08-18,10.66,10.8,10.44,10.64,12.14,9.17,GROWWNET
2025-08-14,10.36,10.71,10.36,10.6,12.14,9.17,GROWWNET
2025-08-13,10.44,10.59,10.3,10.54,12.14,9.17,GROWWNET
2025-08-12,10.46,10.47,10.22,10.3,12.14,9.17,GROWWNET
2025-08-11,10.05,10.4,10.05,10.36,12.14,9.17,GROWWNET
2025-08-08,10.34,10.35,10.09,10.14,12.14,9.17,GROWWNET
2025-08-07,10.14,10.29,10.0,10.19,12.14,9.17,GROWWNET
2025-08-06,10.1,10.39,10.1,10.14,12.14,9.17,GROWWNET
2025-08-05,10.4,10.55,10.18,10.21,12.14,9.17,GROWWNET
2025-08-04,10.3,10.64,10.21,10.39,12.14,9.17,GROWWNET
2025-08-01,10.4,10.41,10.26,10.31,12.14,9.17,GROWWNET
2025-07-31,10.3,10.43,10.26,10.35,12.14,9.17,GROWWNET
2025-07-30,10.51,10.52,10.32,10.41,12.14,9.17,GROWWNET
2025-07-29,10.46,10.59,10.26,10.42,12.14,9.17,GROWWNET
2025-07-28,10.49,10.6,10.16,10.38,12.14,9.17,GROWWNET
2025-07-25,10.64,10.8,10.4,10.45,12.14,9.17,GROWWNET
2025-07-24,10.79,10.8,10.51,10.55,12.14,9.17,GROWWNET
2025-07-23,10.7,12.14,10.48,10.53,12.14,9.17,GROWWNET
2025-07-22,10.12,10.6,10.06,10.46,11.5,9.17,GROWWNET
2025-07-21,10.04,10.15,9.75,10.12,11.5,9.17,GROWWNET
2025-07-18,10.1,10.1,9.89,9.93,11.5,9.17,GROWWNET
2025-07-17,10.2,10.2,10.0,10.03,11.5,9.17,GROWWNET
2025-07-16,10.25,10.25,10.04,10.06,11.5,9.17,GROWWNET
2025-07-15,10.24,10.25,10.06,10.13,11.5,9.17,GROWWNET
2025-07-14,9.8,10.15,9.17,10.09,11.5,9.17,GROWWNET
2025-07-11,10.18,10.47,9.87,9.94,11.5,9.8,GROWWNET
2025-07-10,10.04,10.25,10.0,10.12,11.5,9.8,GROWWNET
2025-07-09,10.05,10.05,9.92,10.03,11.5,9.8,GROWWNET
2025-07-08,10.09,10.09,9.81,9.98,11.5,9.8,GROWWNET
2025-07-07,10.2,10.2,9.8,9.91,11.5,9.8,GROWWNET
2025-07-04,10.2,11.5,9.9,9.96,11.5,9.9,GROWWNET
2025-07-03,10.12,10.12,9.95,9.98,10.12,9.95,GROWWNET
