DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-06-07,625.0,625.0,595.25,607.55,636.2,243.0,NAM-INDIA
2024-06-06,555.0,622.0,554.1,614.0,636.2,243.0,NAM-INDIA
2024-06-05,564.9,575.0,498.05,545.95,636.2,243.0,NAM-INDIA
2024-06-04,629.0,629.0,513.4,546.4,636.2,243.0,NAM-INDIA
2024-06-03,623.95,636.2,618.6,623.7,636.2,243.0,NAM-INDIA
2024-05-31,602.0,609.7,594.0,598.3,623.95,237.55,NAM-INDIA
2024-05-30,610.0,616.0,598.05,600.9,623.95,237.55,NAM-INDIA
2024-05-29,605.0,616.0,602.5,611.1,623.95,237.55,NAM-INDIA
2024-05-28,609.0,616.7,600.0,606.3,623.95,237.55,NAM-INDIA
2024-05-27,610.95,617.05,602.2,607.4,623.95,237.55,NAM-INDIA
2024-05-24,617.0,621.85,606.35,610.95,623.95,230.3,NAM-INDIA
2024-05-23,595.0,623.95,593.4,620.05,623.95,230.3,NAM-INDIA
2024-05-22,603.0,606.0,590.0,593.4,623.0,230.3,NAM-INDIA
2024-05-21,590.85,601.4,587.1,599.8,623.0,230.3,NAM-INDIA
2024-05-18,595.0,595.0,588.05,592.95,623.0,230.3,NAM-INDIA
2024-05-17,583.7,595.5,574.2,593.35,623.0,230.3,NAM-INDIA
2024-05-16,559.1,587.0,559.1,579.65,623.0,230.3,NAM-INDIA
2024-05-15,560.6,567.45,558.3,562.15,623.0,230.3,NAM-INDIA
2024-05-14,564.0,566.35,554.4,560.85,623.0,230.3,NAM-INDIA
2024-05-13,566.15,575.9,558.05,563.05,623.0,230.3,NAM-INDIA
2024-05-10,575.9,577.7,565.35,572.45,623.0,230.3,NAM-INDIA
2024-05-09,579.85,579.95,563.2,575.05,623.0,230.3,NAM-INDIA
2024-05-08,574.0,588.9,564.8,579.85,623.0,230.3,NAM-INDIA
2024-05-07,585.45,595.0,570.8,574.6,623.0,230.3,NAM-INDIA
2024-05-06,595.0,598.5,580.0,585.6,623.0,230.3,NAM-INDIA
2024-05-03,585.9,603.0,585.05,598.7,623.0,230.3,NAM-INDIA
2024-05-02,591.0,591.05,580.0,583.3,623.0,230.3,NAM-INDIA
2024-04-30,589.0,594.0,582.85,588.65,623.0,230.3,NAM-INDIA
2024-04-29,585.45,592.2,579.4,587.05,623.0,230.3,NAM-INDIA
2024-04-26,578.0,591.1,577.5,580.1,623.0,230.3,NAM-INDIA
2024-04-25,588.15,614.95,574.0,581.45,623.0,230.3,NAM-INDIA
2024-04-24,565.0,623.0,558.3,584.35,623.0,230.3,NAM-INDIA
2024-04-23,579.8,584.9,557.7,562.65,584.9,230.3,NAM-INDIA
2024-04-22,565.0,581.8,564.95,577.75,581.8,230.3,NAM-INDIA
2024-04-19,551.3,568.95,547.2,561.15,568.95,230.3,NAM-INDIA
2024-04-18,554.5,558.2,549.0,553.65,561.6,230.3,NAM-INDIA
2024-04-16,535.05,556.0,530.05,553.25,561.6,230.3,NAM-INDIA
2024-04-15,525.0,547.8,525.0,535.5,561.6,230.3,NAM-INDIA
2024-04-12,550.0,561.6,540.0,542.75,561.6,212.75,NAM-INDIA
2024-04-10,525.75,551.1,518.05,546.0,551.1,212.75,NAM-INDIA
2024-04-09,519.35,529.0,513.6,525.7,542.85,212.75,NAM-INDIA
2024-04-08,533.0,533.0,513.6,516.7,542.85,212.75,NAM-INDIA
2024-04-05,524.35,533.45,515.0,531.95,542.85,210.25,NAM-INDIA
2024-04-04,505.5,526.0,500.2,521.5,542.85,210.25,NAM-INDIA
2024-04-03,483.2,511.7,478.6,504.7,542.85,210.25,NAM-INDIA
2024-04-02,487.9,490.25,475.0,485.95,542.85,210.25,NAM-INDIA
2024-04-01,479.0,490.5,472.55,486.6,542.85,210.25,NAM-INDIA
2024-03-28,468.7,476.0,459.5,471.15,542.85,196.9,NAM-INDIA
2024-03-27,460.0,484.8,460.0,464.85,542.85,196.9,NAM-INDIA
2024-03-26,451.4,463.35,445.3,455.0,542.85,196.9,NAM-INDIA
2024-03-22,449.05,455.1,444.25,448.65,542.85,196.9,NAM-INDIA
2024-03-21,446.95,461.0,444.9,446.05,542.85,196.9,NAM-INDIA
2024-03-20,437.6,450.35,430.0,441.2,542.85,196.9,NAM-INDIA
2024-03-19,448.75,450.55,431.0,434.75,542.85,196.9,NAM-INDIA
2024-03-18,464.4,466.55,443.05,445.8,542.85,196.9,NAM-INDIA
2024-03-15,475.0,488.7,450.5,464.4,542.85,196.9,NAM-INDIA
2024-03-14,441.0,479.15,437.8,472.5,542.85,196.9,NAM-INDIA
2024-03-13,496.3,499.1,432.25,445.2,542.85,196.9,NAM-INDIA
2024-03-12,504.65,513.4,481.05,493.9,542.85,196.9,NAM-INDIA
2024-03-11,497.0,509.95,492.5,503.65,542.85,196.9,NAM-INDIA
2024-03-07,508.9,510.2,490.2,492.2,542.85,196.9,NAM-INDIA
2024-03-06,518.0,520.55,503.2,507.75,542.85,196.9,NAM-INDIA
2024-03-05,513.65,526.55,512.1,515.3,542.85,196.9,NAM-INDIA
2024-03-04,517.1,521.2,511.6,513.65,542.85,196.9,NAM-INDIA
2024-03-02,516.15,524.7,514.15,516.45,542.85,196.9,NAM-INDIA
2024-03-01,518.4,522.3,508.5,516.1,542.85,196.9,NAM-INDIA
2024-02-29,528.4,532.3,513.0,515.65,542.85,196.9,NAM-INDIA
2024-02-28,531.45,531.75,521.4,527.95,542.85,196.9,NAM-INDIA
2024-02-27,524.1,542.85,524.05,528.95,542.85,196.9,NAM-INDIA
2024-02-26,502.0,528.0,502.0,521.6,541.4,196.9,NAM-INDIA
2024-02-23,503.0,507.5,495.2,504.15,541.4,196.9,NAM-INDIA
2024-02-22,504.8,508.7,496.0,499.95,541.4,196.9,NAM-INDIA
2024-02-21,502.75,510.95,500.1,504.8,541.4,196.9,NAM-INDIA
2024-02-20,515.0,515.0,500.0,502.75,541.4,196.9,NAM-INDIA
2024-02-19,500.2,519.4,500.1,510.7,541.4,196.9,NAM-INDIA
2024-02-16,491.25,500.65,488.65,494.55,541.4,196.9,NAM-INDIA
2024-02-15,494.0,497.85,484.75,488.85,541.4,196.9,NAM-INDIA
2024-02-14,475.0,498.6,473.3,489.2,541.4,196.9,NAM-INDIA
2024-02-13,480.1,482.6,471.5,475.25,541.4,196.9,NAM-INDIA
2024-02-12,490.75,491.0,474.0,480.1,541.4,196.9,NAM-INDIA
2024-02-09,497.0,502.0,477.65,483.7,541.4,196.9,NAM-INDIA
2024-02-08,499.45,501.7,489.6,494.9,541.4,196.9,NAM-INDIA
2024-02-07,506.95,513.2,487.0,499.45,541.4,196.9,NAM-INDIA
2024-02-06,493.8,507.5,489.1,504.5,541.4,196.9,NAM-INDIA
2024-02-05,508.95,509.6,486.4,490.4,541.4,196.9,NAM-INDIA
2024-02-02,510.7,512.2,497.0,505.35,541.4,196.9,NAM-INDIA
2024-02-01,528.75,531.45,500.5,507.3,541.4,196.9,NAM-INDIA
2024-01-31,519.95,537.2,519.05,524.75,541.4,196.9,NAM-INDIA
2024-01-30,523.6,541.4,502.55,520.5,541.4,196.9,NAM-INDIA
2024-01-29,516.5,526.95,511.0,523.5,527.2,196.9,NAM-INDIA
2024-01-25,500.0,527.2,497.15,516.5,527.2,196.9,NAM-INDIA
2024-01-24,486.4,506.0,484.8,497.2,520.45,196.9,NAM-INDIA
2024-01-23,510.6,510.7,484.0,486.35,520.45,196.9,NAM-INDIA
2024-01-20,514.0,514.0,499.2,510.6,520.45,196.9,NAM-INDIA
2024-01-19,513.5,516.7,493.0,496.85,520.45,196.9,NAM-INDIA
2024-01-18,488.9,512.5,482.65,510.85,520.45,196.9,NAM-INDIA
2024-01-17,500.9,500.9,484.4,486.35,520.45,196.9,NAM-INDIA
2024-01-16,508.55,519.0,498.35,501.4,520.45,196.9,NAM-INDIA
2024-01-15,516.6,519.15,502.0,508.55,520.45,196.9,NAM-INDIA
2024-01-12,502.9,520.45,498.55,514.6,520.45,196.9,NAM-INDIA
2024-01-11,486.7,502.1,486.7,500.25,503.45,196.9,NAM-INDIA
2024-01-10,500.0,503.45,480.6,484.05,503.45,196.9,NAM-INDIA
2024-01-09,472.5,498.0,472.5,491.65,498.0,196.9,NAM-INDIA
2024-01-08,484.05,487.95,467.05,469.65,489.0,196.9,NAM-INDIA
2024-01-05,474.5,483.0,473.0,480.5,489.0,196.9,NAM-INDIA
2024-01-04,462.4,473.9,461.05,471.5,489.0,196.9,NAM-INDIA
2024-01-03,467.4,473.8,458.65,460.1,489.0,196.9,NAM-INDIA
2024-01-02,457.0,471.7,454.0,466.8,489.0,196.9,NAM-INDIA
2024-01-01,447.85,458.15,447.15,455.9,489.0,196.9,NAM-INDIA
2023-12-29,436.85,449.0,433.4,447.85,489.0,196.9,NAM-INDIA
2023-12-28,439.6,441.85,432.25,434.55,489.0,196.9,NAM-INDIA
2023-12-27,447.0,449.0,437.0,438.6,489.0,196.9,NAM-INDIA
2023-12-26,455.3,457.25,440.8,443.5,489.0,196.9,NAM-INDIA
2023-12-22,457.45,459.55,444.7,455.3,489.0,196.9,NAM-INDIA
2023-12-21,454.85,460.0,443.25,457.25,489.0,196.9,NAM-INDIA
2023-12-20,465.0,489.0,453.0,459.6,489.0,196.9,NAM-INDIA
2023-12-19,446.25,454.3,442.5,449.05,472.75,196.9,NAM-INDIA
2023-12-18,451.05,451.05,440.6,444.1,472.75,196.9,NAM-INDIA
2023-12-15,448.1,452.0,438.6,448.75,472.75,196.9,NAM-INDIA
2023-12-14,459.65,461.5,440.0,442.35,472.75,196.9,NAM-INDIA
2023-12-13,444.75,472.75,443.5,459.65,472.75,196.9,NAM-INDIA
2023-12-12,440.9,446.9,438.05,442.5,455.0,196.9,NAM-INDIA
2023-12-11,435.5,443.9,435.0,438.55,455.0,196.9,NAM-INDIA
2023-12-08,444.9,448.0,432.05,433.55,455.0,196.9,NAM-INDIA
2023-12-07,451.95,455.0,430.0,441.8,455.0,196.9,NAM-INDIA
2023-12-06,444.65,454.9,435.25,451.65,454.9,196.9,NAM-INDIA
2023-12-05,441.0,448.3,438.05,444.5,448.3,196.9,NAM-INDIA
2023-12-04,433.8,443.85,432.45,441.45,443.85,196.9,NAM-INDIA
2023-12-01,421.0,433.2,418.3,429.15,433.2,196.9,NAM-INDIA
2023-11-30,411.0,419.65,410.05,418.15,425.25,196.9,NAM-INDIA
2023-11-29,408.5,411.5,406.0,410.05,425.25,196.9,NAM-INDIA
2023-11-28,409.7,413.2,402.95,406.4,425.25,196.9,NAM-INDIA
2023-11-24,419.35,422.4,404.1,407.15,425.25,196.9,NAM-INDIA
2023-11-23,410.25,420.85,410.25,419.2,425.25,196.9,NAM-INDIA
2023-11-22,414.0,422.1,405.0,409.3,425.25,196.9,NAM-INDIA
2023-11-21,418.7,421.95,411.2,412.1,425.25,196.9,NAM-INDIA
2023-11-20,420.25,425.25,416.35,417.7,425.25,196.9,NAM-INDIA
2023-11-17,416.75,424.15,412.2,421.05,424.15,196.9,NAM-INDIA
2023-11-16,406.0,421.1,405.0,417.2,421.1,196.9,NAM-INDIA
2023-11-15,404.0,414.8,400.3,405.0,414.9,196.9,NAM-INDIA
2023-11-13,400.0,412.3,396.15,402.7,414.9,196.9,NAM-INDIA
2023-11-12,400.95,404.7,400.5,401.7,414.9,196.9,NAM-INDIA
2023-11-10,397.0,400.0,392.1,397.45,414.9,196.9,NAM-INDIA
2023-11-09,401.35,403.05,388.05,400.35,414.9,196.9,NAM-INDIA
2023-11-08,408.0,412.5,401.05,405.1,414.9,196.9,NAM-INDIA
2023-11-07,403.75,414.9,396.05,405.45,414.9,196.9,NAM-INDIA
2023-11-06,395.6,406.8,387.3,403.75,406.8,196.9,NAM-INDIA
2023-11-03,387.3,396.0,381.7,393.5,398.0,196.9,NAM-INDIA
2023-11-02,386.65,390.8,381.6,385.25,398.0,196.9,NAM-INDIA
2023-11-01,391.05,391.55,376.55,383.9,398.0,196.9,NAM-INDIA
2023-10-31,375.65,394.25,372.3,391.45,398.0,196.9,NAM-INDIA
2023-10-30,371.9,378.5,368.15,370.9,398.0,196.9,NAM-INDIA
2023-10-27,359.0,376.7,358.6,371.8,398.0,196.9,NAM-INDIA
2023-10-26,356.9,361.55,345.0,357.75,398.0,196.9,NAM-INDIA
2023-10-25,360.0,363.75,353.35,360.15,398.0,196.9,NAM-INDIA
2023-10-23,370.0,377.0,352.0,358.15,398.0,196.9,NAM-INDIA
2023-10-20,365.6,372.4,363.05,369.25,398.0,196.9,NAM-INDIA
2023-10-19,372.0,372.0,362.1,365.6,398.0,196.9,NAM-INDIA
2023-10-18,382.0,383.95,368.35,372.15,398.0,196.9,NAM-INDIA
2023-10-17,386.25,391.55,381.25,382.65,398.0,196.9,NAM-INDIA
2023-10-16,390.05,397.85,384.0,386.95,398.0,196.9,NAM-INDIA
2023-10-13,378.0,398.0,375.3,394.3,398.0,196.9,NAM-INDIA
2023-10-12,353.35,392.0,352.15,379.15,392.0,196.9,NAM-INDIA
2023-10-11,343.0,354.5,343.0,350.65,354.5,196.9,NAM-INDIA
2023-10-10,336.5,341.95,334.0,339.25,346.7,196.9,NAM-INDIA
