DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,1252.0,1252.0,1225.0,1228.8,2119.9,1127.55,BALAMINES
2025-11-13,1269.0,1274.4,1253.5,1257.6,2119.9,1127.55,BALAMINES
2025-11-12,1285.1,1291.0,1263.1,1269.8,2119.9,1127.55,BALAMINES
2025-11-11,1345.7,1350.0,1283.0,1292.4,2119.9,1127.55,BALAMINES
2025-11-10,1396.5,1405.7,1354.1,1365.7,2119.9,1127.55,BALAMINES
2025-11-07,1429.0,1429.0,1391.0,1397.7,2169.0,1127.55,BALAMINES
2025-11-06,1404.0,1450.0,1392.7,1431.8,2169.0,1127.55,BALAMINES
2025-11-04,1425.0,1457.9,1400.0,1404.7,2169.0,1127.55,BALAMINES
2025-11-03,1410.1,1436.9,1386.0,1413.2,2169.0,1127.55,BALAMINES
2025-10-31,1427.0,1427.0,1402.3,1409.1,2169.0,1127.55,BALAMINES
2025-10-30,1427.0,1427.0,1402.1,1412.2,2169.0,1127.55,BALAMINES
2025-10-29,1395.0,1440.0,1392.9,1416.7,2169.0,1127.55,BALAMINES
2025-10-28,1405.4,1426.6,1390.5,1394.5,2169.0,1127.55,BALAMINES
2025-10-27,1401.0,1414.0,1388.2,1403.2,2169.0,1127.55,BALAMINES
2025-10-24,1410.8,1416.9,1386.6,1394.0,2189.95,1127.55,BALAMINES
2025-10-23,1400.0,1420.0,1383.1,1410.8,2189.95,1127.55,BALAMINES
2025-10-21,1390.0,1409.9,1390.0,1402.4,2189.95,1127.55,BALAMINES
2025-10-20,1365.3,1392.0,1345.2,1389.0,2189.95,1127.55,BALAMINES
2025-10-17,1402.1,1402.1,1355.2,1365.2,2262.0,1127.55,BALAMINES
2025-10-16,1352.0,1396.0,1352.0,1372.5,2262.0,1127.55,BALAMINES
2025-10-15,1349.0,1352.8,1330.3,1349.6,2262.0,1127.55,BALAMINES
2025-10-14,1366.0,1371.9,1325.1,1348.8,2262.0,1127.55,BALAMINES
2025-10-13,1366.5,1373.9,1353.4,1366.1,2262.0,1127.55,BALAMINES
2025-10-10,1360.0,1380.0,1356.1,1368.5,2269.9,1127.55,BALAMINES
2025-10-09,1379.4,1383.5,1360.1,1361.7,2269.9,1127.55,BALAMINES
2025-10-08,1389.8,1399.8,1373.0,1377.2,2269.9,1127.55,BALAMINES
2025-10-07,1400.7,1401.5,1383.8,1389.3,2269.9,1127.55,BALAMINES
2025-10-06,1419.6,1434.0,1388.0,1396.0,2269.9,1127.55,BALAMINES
2025-10-03,1404.6,1424.1,1400.0,1417.8,2374.0,1127.55,BALAMINES
2025-10-01,1410.0,1410.0,1384.1,1401.9,2374.0,1127.55,BALAMINES
2025-09-30,1397.2,1415.9,1383.5,1389.2,2374.0,1127.55,BALAMINES
2025-09-29,1415.1,1423.9,1389.1,1395.0,2374.0,1127.55,BALAMINES
2025-09-26,1473.0,1474.1,1402.2,1411.4,2385.3,1127.55,BALAMINES
2025-09-25,1483.7,1495.1,1466.7,1472.0,2385.3,1127.55,BALAMINES
2025-09-24,1462.6,1510.8,1451.4,1483.7,2385.3,1127.55,BALAMINES
2025-09-23,1480.0,1483.8,1458.4,1462.6,2385.3,1127.55,BALAMINES
2025-09-22,1476.0,1513.8,1476.0,1478.9,2385.3,1127.55,BALAMINES
2025-09-19,1514.8,1514.8,1476.0,1482.7,2433.0,1127.55,BALAMINES
2025-09-18,1516.7,1560.0,1507.4,1514.8,2433.0,1127.55,BALAMINES
2025-09-17,1528.0,1545.8,1507.4,1516.7,2433.0,1127.55,BALAMINES
2025-09-16,1488.9,1527.9,1488.9,1518.6,2433.0,1127.55,BALAMINES
2025-09-15,1504.8,1510.9,1484.5,1490.4,2433.0,1127.55,BALAMINES
2025-09-12,1508.0,1520.9,1495.7,1504.8,2433.0,1127.55,BALAMINES
2025-09-11,1495.0,1517.9,1495.0,1506.3,2433.0,1127.55,BALAMINES
2025-09-10,1504.7,1529.4,1484.0,1495.5,2433.0,1127.55,BALAMINES
2025-09-09,1494.3,1507.4,1483.0,1503.4,2433.0,1127.55,BALAMINES
2025-09-08,1487.3,1510.0,1476.8,1494.3,2433.0,1127.55,BALAMINES
2025-09-05,1505.0,1518.8,1480.7,1487.3,2433.0,1127.55,BALAMINES
2025-09-04,1546.0,1549.1,1499.1,1504.0,2433.0,1127.55,BALAMINES
2025-09-03,1515.0,1555.0,1490.6,1525.9,2433.0,1127.55,BALAMINES
2025-09-02,1489.0,1522.1,1468.0,1488.0,2433.0,1127.55,BALAMINES
2025-09-01,1464.2,1480.0,1453.3,1474.2,2433.0,1127.55,BALAMINES
2025-08-29,1477.6,1489.4,1450.0,1457.0,2433.0,1127.55,BALAMINES
2025-08-28,1510.0,1513.5,1471.0,1477.6,2433.0,1127.55,BALAMINES
2025-08-26,1555.4,1559.9,1509.5,1517.0,2433.0,1127.55,BALAMINES
2025-08-25,1532.5,1568.7,1527.0,1555.4,2433.0,1127.55,BALAMINES
2025-08-22,1569.7,1587.0,1524.9,1532.0,2433.0,1127.55,BALAMINES
2025-08-21,1561.3,1578.8,1555.0,1561.9,2433.0,1127.55,BALAMINES
2025-08-20,1550.9,1564.9,1529.0,1561.3,2433.0,1127.55,BALAMINES
2025-08-19,1540.1,1565.0,1536.0,1544.2,2433.0,1127.55,BALAMINES
2025-08-18,1555.0,1569.4,1537.0,1543.0,2433.0,1127.55,BALAMINES
2025-08-14,1557.0,1574.0,1544.9,1548.9,2433.0,1127.55,BALAMINES
2025-08-13,1550.5,1586.2,1548.0,1560.6,2433.0,1127.55,BALAMINES
2025-08-12,1533.5,1549.6,1515.0,1540.8,2433.0,1127.55,BALAMINES
2025-08-11,1525.0,1543.0,1510.0,1534.7,2433.0,1127.55,BALAMINES
2025-08-08,1537.6,1567.6,1517.0,1534.4,2433.0,1127.55,BALAMINES
2025-08-07,1541.0,1550.9,1511.3,1537.6,2433.0,1127.55,BALAMINES
2025-08-06,1522.0,1564.4,1512.2,1551.5,2433.0,1127.55,BALAMINES
2025-08-05,1562.9,1578.0,1518.6,1522.0,2433.0,1127.55,BALAMINES
2025-08-04,1621.5,1649.0,1554.5,1565.1,2433.0,1127.55,BALAMINES
2025-08-01,1768.4,1788.8,1668.0,1691.5,2549.75,1127.55,BALAMINES
2025-07-31,1700.0,1815.7,1674.0,1768.4,2549.75,1127.55,BALAMINES
2025-07-30,1715.9,1786.0,1702.8,1726.4,2549.75,1127.55,BALAMINES
2025-07-29,1660.3,1725.0,1653.9,1711.6,2549.75,1127.55,BALAMINES
2025-07-28,1675.0,1698.6,1657.8,1668.5,2549.75,1127.55,BALAMINES
2025-07-25,1745.0,1745.0,1674.7,1681.5,2549.75,1127.55,BALAMINES
2025-07-24,1740.0,1761.0,1729.6,1741.6,2549.75,1127.55,BALAMINES
2025-07-23,1736.2,1745.0,1711.6,1738.6,2549.75,1127.55,BALAMINES
2025-07-22,1765.4,1769.0,1720.8,1725.9,2549.75,1127.55,BALAMINES
2025-07-21,1769.0,1784.8,1743.7,1750.1,2549.75,1127.55,BALAMINES
2025-07-18,1804.9,1805.3,1756.1,1761.7,2549.75,1127.55,BALAMINES
2025-07-17,1790.0,1832.4,1786.0,1797.6,2549.75,1127.55,BALAMINES
2025-07-16,1782.5,1809.5,1764.8,1781.8,2549.75,1127.55,BALAMINES
2025-07-15,1762.3,1811.6,1756.0,1782.5,2549.75,1127.55,BALAMINES
2025-07-14,1794.1,1810.9,1747.7,1760.1,2549.75,1127.55,BALAMINES
2025-07-11,1875.0,1887.9,1788.0,1794.7,2549.75,1127.55,BALAMINES
2025-07-10,1900.0,1920.2,1862.9,1878.7,2549.75,1127.55,BALAMINES
2025-07-09,1905.0,1930.0,1881.0,1900.2,2549.75,1127.55,BALAMINES
2025-07-08,1924.9,1925.0,1870.0,1902.2,2549.75,1127.55,BALAMINES
2025-07-07,1798.9,1945.0,1786.8,1915.6,2549.75,1127.55,BALAMINES
2025-07-04,1818.9,1818.9,1775.0,1798.9,2549.75,1127.55,BALAMINES
2025-07-03,1829.1,1834.5,1795.0,1814.8,2549.75,1127.55,BALAMINES
2025-07-02,1825.0,1879.9,1758.2,1838.6,2549.75,1127.55,BALAMINES
2025-07-01,1838.1,1850.0,1809.3,1825.0,2549.75,1127.55,BALAMINES
2025-06-30,1799.0,1858.0,1743.6,1841.6,2549.75,1127.55,BALAMINES
2025-06-27,1736.0,1799.0,1693.4,1789.0,2549.75,1127.55,BALAMINES
2025-06-26,1689.0,1749.0,1656.5,1740.3,2549.75,1127.55,BALAMINES
2025-06-25,1509.1,1698.0,1500.0,1672.7,2549.75,1127.55,BALAMINES
2025-06-24,1461.2,1499.0,1446.6,1490.1,2549.75,1127.55,BALAMINES
2025-06-23,1379.7,1457.0,1372.1,1438.3,2549.75,1127.55,BALAMINES
2025-06-20,1395.0,1457.9,1380.0,1386.6,2549.75,1127.55,BALAMINES
2025-06-19,1444.6,1461.0,1390.0,1403.8,2549.75,1127.55,BALAMINES
2025-06-18,1437.0,1449.0,1423.1,1445.8,2549.75,1127.55,BALAMINES
2025-06-17,1446.2,1468.9,1421.1,1427.7,2549.75,1127.55,BALAMINES
2025-06-16,1459.0,1469.0,1425.0,1446.2,2549.75,1127.55,BALAMINES
2025-06-13,1445.7,1468.5,1426.4,1453.6,2549.75,1127.55,BALAMINES
2025-06-12,1496.7,1507.0,1466.0,1472.8,2549.75,1127.55,BALAMINES
2025-06-11,1495.6,1524.0,1486.4,1496.7,2549.75,1127.55,BALAMINES
2025-06-10,1516.8,1516.8,1490.1,1495.0,2549.75,1127.55,BALAMINES
2025-06-09,1480.1,1510.0,1479.6,1502.3,2549.75,1127.55,BALAMINES
2025-06-06,1478.5,1484.0,1455.2,1480.1,2549.75,1127.55,BALAMINES
2025-06-05,1484.3,1486.0,1467.5,1472.1,2549.75,1127.55,BALAMINES
2025-06-04,1488.0,1498.6,1463.0,1484.5,2549.75,1127.55,BALAMINES
2025-06-03,1445.1,1531.9,1445.1,1485.2,2549.75,1127.55,BALAMINES
2025-06-02,1452.7,1452.7,1428.2,1440.1,2549.75,1127.55,BALAMINES
2025-05-30,1470.0,1474.5,1430.1,1450.7,2549.75,1127.55,BALAMINES
2025-05-29,1400.0,1479.1,1394.4,1457.0,2549.75,1127.55,BALAMINES
2025-05-28,1462.0,1502.0,1460.0,1491.6,2549.75,1127.55,BALAMINES
2025-05-27,1485.2,1485.8,1455.0,1458.5,2549.75,1127.55,BALAMINES
2025-05-26,1448.0,1494.0,1440.5,1485.2,2549.75,1127.55,BALAMINES
2025-05-23,1431.4,1457.9,1417.1,1448.9,2549.75,1127.55,BALAMINES
2025-05-22,1440.0,1444.4,1420.0,1431.4,2549.75,1127.55,BALAMINES
2025-05-21,1436.6,1457.9,1413.0,1442.6,2549.75,1127.55,BALAMINES
2025-05-20,1465.4,1474.9,1430.0,1435.6,2549.75,1127.55,BALAMINES
2025-05-19,1414.4,1454.0,1405.0,1445.7,2549.75,1127.55,BALAMINES
2025-05-16,1365.5,1417.0,1355.5,1403.5,2549.75,1127.55,BALAMINES
2025-05-15,1344.0,1390.0,1343.9,1365.5,2549.75,1127.55,BALAMINES
2025-05-14,1332.5,1350.0,1329.0,1347.2,2549.75,1127.55,BALAMINES
2025-05-13,1301.6,1338.1,1290.6,1327.2,2549.75,1127.55,BALAMINES
2025-05-12,1260.0,1309.3,1260.0,1301.6,2549.75,1127.55,BALAMINES
2025-05-09,1192.6,1255.0,1192.3,1244.2,2549.75,1127.55,BALAMINES
2025-05-08,1251.1,1285.6,1237.9,1242.3,2549.75,1127.55,BALAMINES
2025-05-07,1220.1,1260.0,1213.5,1258.0,2549.75,1127.55,BALAMINES
2025-05-06,1270.0,1287.5,1226.5,1235.0,2549.75,1127.55,BALAMINES
2025-05-05,1260.0,1283.5,1235.0,1276.6,2549.75,1127.55,BALAMINES
2025-05-02,1274.6,1281.3,1237.0,1261.5,2549.75,1127.55,BALAMINES
2025-04-30,1289.3,1303.5,1255.1,1263.6,2549.75,1127.55,BALAMINES
2025-04-29,1299.0,1314.8,1284.0,1294.8,2549.75,1127.55,BALAMINES
2025-04-28,1296.0,1314.9,1259.4,1286.4,2549.75,1127.55,BALAMINES
2025-04-25,1350.0,1356.9,1289.5,1300.6,2549.75,1127.55,BALAMINES
2025-04-24,1364.4,1380.0,1337.3,1346.2,2549.75,1127.55,BALAMINES
2025-04-23,1350.5,1370.0,1321.0,1351.2,2549.75,1127.55,BALAMINES
2025-04-22,1345.9,1357.7,1322.0,1342.5,2549.75,1127.55,BALAMINES
2025-04-21,1325.1,1350.0,1317.2,1334.6,2549.75,1127.55,BALAMINES
2025-04-17,1331.9,1341.0,1287.0,1321.1,2549.75,1127.55,BALAMINES
2025-04-16,1281.0,1324.4,1278.1,1312.2,2549.75,1127.55,BALAMINES
2025-04-15,1280.6,1290.0,1204.8,1281.1,2549.75,1127.55,BALAMINES
2025-04-11,1175.0,1214.9,1160.1,1205.35,2549.75,1127.55,BALAMINES
2025-04-09,1176.1,1179.95,1133.45,1140.65,2549.75,1127.55,BALAMINES
2025-04-08,1192.8,1207.4,1144.4,1171.9,2549.75,1127.55,BALAMINES
2025-04-07,1175.0,1185.75,1127.55,1168.2,2549.75,1127.55,BALAMINES
2025-04-04,1271.15,1271.15,1203.8,1218.55,2549.75,1171.0,BALAMINES
2025-04-03,1238.1,1292.0,1237.7,1273.7,2549.75,1171.0,BALAMINES
2025-04-02,1253.2,1266.0,1220.0,1255.4,2549.75,1171.0,BALAMINES
