DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,1076.2,1101.8,1072.2,1096.3,1309.9,802.0,JUBLPHARMA
2025-10-17,1076.0,1082.9,1064.7,1079.8,1309.9,802.0,JUBLPHARMA
2025-10-16,1080.0,1090.1,1066.7,1076.0,1309.9,802.0,JUBLPHARMA
2025-10-15,1080.4,1090.1,1033.0,1076.2,1309.9,802.0,JUBLPHARMA
2025-10-14,1099.0,1100.0,1065.6,1078.3,1309.9,802.0,JUBLPHARMA
2025-10-13,1128.8,1128.8,1095.0,1097.5,1309.9,802.0,JUBLPHARMA
2025-10-10,1110.8,1141.0,1093.1,1124.2,1309.9,802.0,JUBLPHARMA
2025-10-09,1085.0,1108.7,1084.1,1098.0,1309.9,802.0,JUBLPHARMA
2025-10-08,1100.1,1106.4,1081.0,1086.1,1309.9,802.0,JUBLPHARMA
2025-10-07,1099.9,1113.3,1082.6,1098.2,1309.9,802.0,JUBLPHARMA
2025-10-06,1111.0,1124.3,1088.1,1096.7,1309.9,802.0,JUBLPHARMA
2025-10-03,1122.9,1137.0,1111.0,1119.4,1309.9,802.0,JUBLPHARMA
2025-10-01,1078.9,1116.7,1067.0,1113.0,1309.9,802.0,JUBLPHARMA
2025-09-30,1076.0,1090.9,1062.4,1079.4,1309.9,802.0,JUBLPHARMA
2025-09-29,1070.0,1075.0,1047.1,1061.4,1309.9,802.0,JUBLPHARMA
2025-09-26,1060.9,1063.1,1016.5,1042.9,1309.9,802.0,JUBLPHARMA
2025-09-25,1066.1,1082.5,1064.2,1071.4,1309.9,802.0,JUBLPHARMA
2025-09-24,1084.0,1090.7,1069.0,1080.3,1309.9,802.0,JUBLPHARMA
2025-09-23,1091.1,1096.7,1073.4,1084.8,1309.9,802.0,JUBLPHARMA
2025-09-22,1120.0,1120.7,1080.2,1091.1,1309.9,802.0,JUBLPHARMA
2025-09-19,1114.9,1118.5,1084.1,1100.2,1309.9,802.0,JUBLPHARMA
2025-09-18,1111.0,1124.3,1094.2,1115.1,1309.9,802.0,JUBLPHARMA
2025-09-17,1115.8,1122.5,1090.2,1110.9,1309.9,802.0,JUBLPHARMA
2025-09-16,1123.9,1130.4,1110.5,1120.4,1309.9,802.0,JUBLPHARMA
2025-09-15,1122.3,1129.3,1110.7,1121.9,1309.9,802.0,JUBLPHARMA
2025-09-12,1125.7,1130.1,1108.5,1122.3,1309.9,802.0,JUBLPHARMA
2025-09-11,1144.7,1148.9,1120.0,1124.6,1309.9,802.0,JUBLPHARMA
2025-09-10,1113.7,1142.5,1110.0,1139.6,1309.9,802.0,JUBLPHARMA
2025-09-09,1099.3,1114.8,1086.5,1109.6,1309.9,802.0,JUBLPHARMA
2025-09-08,1099.0,1145.0,1071.0,1106.0,1309.9,802.0,JUBLPHARMA
2025-09-05,1064.8,1073.7,1051.7,1070.4,1309.9,802.0,JUBLPHARMA
2025-09-04,1057.0,1067.0,1041.4,1064.8,1309.9,802.0,JUBLPHARMA
2025-09-03,1044.9,1067.0,1031.5,1052.2,1309.9,802.0,JUBLPHARMA
2025-09-02,1041.3,1055.0,1033.8,1039.0,1309.9,802.0,JUBLPHARMA
2025-09-01,1023.1,1054.2,1016.7,1041.3,1309.9,802.0,JUBLPHARMA
2025-08-29,1039.2,1041.8,1012.2,1023.1,1309.9,802.0,JUBLPHARMA
2025-08-28,1034.0,1049.8,1026.2,1037.3,1309.9,802.0,JUBLPHARMA
2025-08-26,1077.2,1078.3,1025.1,1042.3,1309.9,802.0,JUBLPHARMA
2025-08-25,1084.3,1088.2,1074.0,1077.2,1309.9,802.0,JUBLPHARMA
2025-08-22,1067.0,1089.7,1055.0,1083.0,1309.9,802.0,JUBLPHARMA
2025-08-21,1092.2,1092.2,1055.0,1066.8,1309.9,802.0,JUBLPHARMA
2025-08-20,1081.0,1111.0,1070.1,1084.1,1309.9,802.0,JUBLPHARMA
2025-08-19,1056.4,1098.0,1054.0,1080.7,1309.9,802.0,JUBLPHARMA
2025-08-18,1058.2,1064.0,1025.0,1053.7,1309.9,802.0,JUBLPHARMA
2025-08-14,1081.4,1092.4,1050.1,1056.0,1309.9,802.0,JUBLPHARMA
2025-08-13,1078.1,1087.1,1065.2,1077.5,1309.9,802.0,JUBLPHARMA
2025-08-12,1105.0,1110.6,1070.0,1077.2,1309.9,802.0,JUBLPHARMA
2025-08-11,1100.2,1108.0,1071.7,1103.3,1309.9,802.0,JUBLPHARMA
2025-08-08,1095.0,1113.4,1086.3,1100.2,1309.9,802.0,JUBLPHARMA
2025-08-07,1092.0,1123.9,1080.8,1103.3,1309.9,802.0,JUBLPHARMA
2025-08-06,1119.0,1134.0,1088.5,1104.5,1309.9,802.0,JUBLPHARMA
2025-08-05,1147.0,1161.5,1113.7,1119.1,1309.9,802.0,JUBLPHARMA
2025-08-04,1152.2,1160.7,1122.6,1147.0,1309.9,802.0,JUBLPHARMA
2025-08-01,1180.0,1194.3,1150.5,1158.4,1309.9,719.95,JUBLPHARMA
2025-07-31,1220.0,1233.1,1181.2,1194.1,1309.9,719.95,JUBLPHARMA
2025-07-30,1162.6,1248.0,1152.7,1236.3,1309.9,719.95,JUBLPHARMA
2025-07-29,1176.0,1225.0,1093.0,1152.9,1309.9,719.95,JUBLPHARMA
2025-07-28,1178.7,1190.7,1160.5,1174.2,1309.9,719.95,JUBLPHARMA
2025-07-25,1171.0,1185.6,1156.1,1178.6,1309.9,707.7,JUBLPHARMA
2025-07-24,1197.0,1227.6,1157.8,1175.0,1309.9,707.7,JUBLPHARMA
2025-07-23,1213.0,1213.0,1180.0,1196.5,1309.9,707.7,JUBLPHARMA
2025-07-22,1228.5,1231.0,1200.0,1210.3,1309.9,707.7,JUBLPHARMA
2025-07-21,1240.0,1242.0,1213.3,1222.4,1309.9,707.7,JUBLPHARMA
2025-07-18,1205.0,1239.0,1194.0,1232.0,1309.9,701.8,JUBLPHARMA
2025-07-17,1204.4,1204.4,1177.5,1200.8,1309.9,701.8,JUBLPHARMA
2025-07-16,1202.6,1204.7,1184.5,1194.5,1309.9,701.8,JUBLPHARMA
2025-07-15,1205.8,1206.5,1194.0,1202.6,1309.9,701.8,JUBLPHARMA
2025-07-14,1165.7,1201.5,1159.1,1194.0,1309.9,701.8,JUBLPHARMA
2025-07-11,1173.3,1183.5,1156.1,1165.7,1309.9,701.8,JUBLPHARMA
2025-07-10,1150.9,1176.0,1150.9,1171.8,1309.9,701.8,JUBLPHARMA
2025-07-09,1163.7,1176.0,1145.0,1148.9,1309.9,701.8,JUBLPHARMA
2025-07-08,1206.3,1206.3,1144.1,1165.4,1309.9,701.8,JUBLPHARMA
2025-07-07,1199.0,1235.0,1186.3,1200.3,1309.9,701.8,JUBLPHARMA
2025-07-04,1205.0,1205.0,1186.4,1194.0,1309.9,701.8,JUBLPHARMA
2025-07-03,1206.0,1210.1,1190.0,1201.5,1309.9,701.8,JUBLPHARMA
2025-07-02,1199.4,1210.0,1189.8,1197.8,1309.9,701.8,JUBLPHARMA
2025-07-01,1210.6,1217.9,1192.0,1199.5,1309.9,701.8,JUBLPHARMA
2025-06-30,1185.6,1221.6,1173.0,1210.6,1309.9,701.8,JUBLPHARMA
2025-06-27,1191.0,1205.0,1166.2,1173.9,1309.9,701.8,JUBLPHARMA
2025-06-26,1189.8,1199.0,1168.8,1180.0,1309.9,701.8,JUBLPHARMA
2025-06-25,1121.9,1189.0,1119.2,1183.9,1309.9,701.8,JUBLPHARMA
2025-06-24,1132.0,1136.3,1111.8,1120.2,1309.9,701.8,JUBLPHARMA
2025-06-23,1101.0,1131.0,1101.0,1121.5,1309.9,701.8,JUBLPHARMA
2025-06-20,1131.0,1172.0,1099.6,1107.9,1309.9,701.8,JUBLPHARMA
2025-06-19,1128.1,1148.0,1116.9,1126.7,1309.9,701.8,JUBLPHARMA
2025-06-18,1110.2,1139.5,1101.1,1123.3,1309.9,701.8,JUBLPHARMA
2025-06-17,1126.4,1143.8,1115.7,1120.4,1309.9,701.8,JUBLPHARMA
2025-06-16,1092.2,1143.7,1090.6,1126.4,1309.9,701.8,JUBLPHARMA
2025-06-13,1060.5,1174.4,1060.0,1094.2,1309.9,701.8,JUBLPHARMA
2025-06-12,1147.0,1156.0,1101.0,1125.6,1309.9,701.8,JUBLPHARMA
2025-06-11,1133.1,1164.0,1133.1,1146.4,1309.9,701.8,JUBLPHARMA
2025-06-10,1143.0,1155.5,1130.9,1146.2,1309.9,701.8,JUBLPHARMA
2025-06-09,1146.5,1155.0,1130.7,1143.9,1309.9,701.8,JUBLPHARMA
2025-06-06,1142.1,1149.8,1132.1,1140.0,1309.9,617.05,JUBLPHARMA
2025-06-05,1160.0,1165.0,1137.0,1142.3,1309.9,617.05,JUBLPHARMA
2025-06-04,1169.0,1169.8,1151.1,1160.0,1309.9,617.05,JUBLPHARMA
2025-06-03,1169.0,1186.5,1126.4,1174.7,1309.9,617.05,JUBLPHARMA
2025-06-02,1173.8,1192.7,1147.6,1169.7,1309.9,617.05,JUBLPHARMA
2025-05-30,1155.0,1175.0,1149.2,1173.8,1309.9,617.05,JUBLPHARMA
2025-05-29,1139.5,1166.1,1130.55,1155.0,1309.9,617.05,JUBLPHARMA
2025-05-28,1131.5,1145.0,1116.25,1132.0,1309.9,617.05,JUBLPHARMA
2025-05-27,1122.0,1140.0,1101.6,1133.1,1309.9,617.05,JUBLPHARMA
2025-05-26,1079.0,1135.0,1075.25,1121.45,1309.9,617.05,JUBLPHARMA
2025-05-23,1050.0,1083.0,1042.45,1074.0,1309.9,617.05,JUBLPHARMA
2025-05-22,984.85,1106.65,982.4,1069.15,1309.9,617.05,JUBLPHARMA
2025-05-21,996.0,1063.7,982.0,993.8,1309.9,617.05,JUBLPHARMA
2025-05-20,960.1,1015.0,954.05,989.3,1309.9,617.05,JUBLPHARMA
2025-05-19,956.95,974.35,939.0,960.1,1309.9,617.05,JUBLPHARMA
2025-05-16,913.75,950.0,905.6,945.6,1309.9,617.05,JUBLPHARMA
2025-05-15,904.4,921.55,900.2,905.6,1309.9,617.05,JUBLPHARMA
2025-05-14,906.0,908.6,894.6,904.4,1309.9,617.05,JUBLPHARMA
2025-05-13,879.15,915.0,879.15,907.05,1309.9,617.05,JUBLPHARMA
2025-05-12,871.5,907.0,870.0,879.15,1309.9,617.05,JUBLPHARMA
2025-05-09,860.0,875.0,845.15,867.85,1309.9,617.05,JUBLPHARMA
2025-05-08,881.75,906.0,865.0,881.05,1309.9,617.05,JUBLPHARMA
2025-05-07,858.95,898.8,840.0,881.75,1309.9,617.05,JUBLPHARMA
2025-05-06,908.0,912.15,845.35,872.25,1309.9,617.05,JUBLPHARMA
2025-05-05,900.0,917.05,893.55,908.0,1309.9,617.05,JUBLPHARMA
2025-05-02,897.9,909.7,871.55,906.95,1309.9,617.05,JUBLPHARMA
2025-04-30,887.5,905.1,866.3,897.95,1309.9,617.05,JUBLPHARMA
2025-04-29,909.0,918.85,880.0,894.7,1309.9,617.05,JUBLPHARMA
2025-04-28,911.9,916.8,897.55,907.4,1309.9,617.05,JUBLPHARMA
2025-04-25,958.0,962.0,901.0,910.0,1309.9,617.05,JUBLPHARMA
2025-04-24,935.0,967.95,919.6,952.65,1309.9,617.05,JUBLPHARMA
2025-04-23,922.0,935.0,912.4,923.85,1309.9,617.05,JUBLPHARMA
2025-04-22,920.0,925.5,905.25,917.25,1309.9,617.05,JUBLPHARMA
2025-04-21,922.95,926.7,906.05,915.95,1309.9,617.05,JUBLPHARMA
2025-04-17,921.0,924.8,895.2,918.95,1309.9,607.55,JUBLPHARMA
2025-04-16,927.8,927.8,907.5,915.95,1309.9,607.55,JUBLPHARMA
2025-04-15,902.35,925.3,892.1,919.9,1309.9,607.55,JUBLPHARMA
2025-04-11,863.0,939.85,842.6,918.3,1309.9,607.55,JUBLPHARMA
2025-04-09,865.0,888.35,823.85,828.1,1309.9,607.55,JUBLPHARMA
2025-04-08,898.95,904.4,876.45,880.8,1309.9,607.55,JUBLPHARMA
2025-04-07,802.0,890.5,802.0,883.35,1309.9,607.55,JUBLPHARMA
2025-04-04,974.7,974.7,910.7,929.2,1309.9,566.6,JUBLPHARMA
2025-04-03,910.15,995.0,910.15,970.55,1309.9,566.6,JUBLPHARMA
2025-04-02,912.8,923.85,895.0,909.65,1309.9,566.6,JUBLPHARMA
2025-04-01,885.0,928.7,880.8,917.0,1309.9,566.6,JUBLPHARMA
2025-03-28,888.7,904.0,877.5,895.9,1309.9,562.7,JUBLPHARMA
2025-03-27,865.6,899.0,851.1,888.7,1309.9,562.7,JUBLPHARMA
2025-03-26,877.8,877.8,850.1,861.4,1309.9,562.7,JUBLPHARMA
2025-03-25,890.0,903.45,867.2,871.35,1309.9,562.7,JUBLPHARMA
2025-03-24,902.0,909.9,888.1,894.4,1309.9,562.7,JUBLPHARMA
2025-03-21,900.0,919.5,889.75,902.85,1309.9,558.75,JUBLPHARMA
2025-03-20,903.25,922.05,890.1,898.95,1309.9,558.75,JUBLPHARMA
2025-03-19,890.0,908.75,876.75,901.05,1309.9,558.75,JUBLPHARMA
2025-03-18,858.0,898.55,855.95,890.45,1309.9,558.75,JUBLPHARMA
2025-03-17,866.4,871.0,845.8,856.2,1309.9,558.75,JUBLPHARMA
2025-03-13,885.85,895.0,855.0,866.45,1309.9,538.05,JUBLPHARMA
2025-03-12,890.0,891.0,851.0,865.0,1309.9,538.05,JUBLPHARMA
2025-03-11,879.75,901.95,867.6,890.85,1309.9,538.05,JUBLPHARMA
2025-03-10,896.8,927.9,876.85,882.8,1309.9,538.05,JUBLPHARMA
2025-03-07,923.0,940.0,907.0,910.1,1309.9,538.05,JUBLPHARMA
2025-03-06,902.05,925.0,897.05,919.95,1309.9,538.05,JUBLPHARMA
2025-03-05,918.0,927.0,890.0,895.85,1309.9,538.05,JUBLPHARMA
2025-03-04,883.05,928.85,881.7,920.2,1309.9,538.05,JUBLPHARMA
2025-03-03,904.95,917.75,882.3,899.2,1309.9,538.05,JUBLPHARMA
2025-02-28,899.9,917.5,878.05,902.7,1309.9,538.05,JUBLPHARMA
2025-02-27,935.1,948.45,902.6,909.65,1309.9,538.05,JUBLPHARMA
2025-02-25,947.0,960.85,923.2,938.5,1309.9,538.05,JUBLPHARMA
2025-02-24,958.9,969.7,932.0,937.65,1309.9,538.05,JUBLPHARMA
2025-02-21,980.0,1011.5,961.05,966.95,1309.9,538.05,JUBLPHARMA
2025-02-20,960.1,1004.45,959.3,991.05,1309.9,538.05,JUBLPHARMA
2025-02-19,990.0,1008.0,945.5,968.45,1309.9,538.05,JUBLPHARMA
2025-02-18,995.0,1034.5,943.15,1002.55,1309.9,538.05,JUBLPHARMA
2025-02-17,947.75,1019.0,947.75,995.45,1309.9,538.05,JUBLPHARMA
2025-02-14,969.9,969.9,905.85,944.95,1309.9,538.05,JUBLPHARMA
2025-02-13,983.55,999.65,952.1,960.4,1309.9,538.05,JUBLPHARMA
2025-02-12,997.0,1003.0,940.55,998.5,1309.9,538.05,JUBLPHARMA
2025-02-11,995.35,1005.85,950.1,995.3,1309.9,538.05,JUBLPHARMA
2025-02-10,999.0,1003.35,987.3,999.5,1309.9,538.05,JUBLPHARMA
2025-02-07,1040.1,1045.95,997.3,1000.05,1309.9,538.05,JUBLPHARMA
2025-02-06,1062.45,1062.45,1033.65,1053.75,1309.9,538.05,JUBLPHARMA
