DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-04-28,547.15,555.35,544.0,553.55,629.5,437.75,BERGEPAINT
2025-04-25,579.75,579.95,550.0,552.5,629.5,437.75,BERGEPAINT
2025-04-24,589.0,595.85,580.65,584.95,629.5,437.75,BERGEPAINT
2025-04-23,577.1,594.0,573.75,589.1,629.5,437.75,BERGEPAINT
2025-04-22,554.9,582.85,548.9,579.2,629.5,437.75,BERGEPAINT
2025-04-21,547.0,562.0,544.0,553.35,629.5,437.75,BERGEPAINT
2025-04-17,542.65,548.6,537.05,543.6,629.5,437.75,BERGEPAINT
2025-04-16,528.4,546.85,526.7,542.05,629.5,437.75,BERGEPAINT
2025-04-15,533.5,534.45,520.5,526.4,629.5,437.75,BERGEPAINT
2025-04-11,541.55,542.05,525.55,530.5,629.5,437.75,BERGEPAINT
2025-04-09,539.0,551.0,535.35,537.6,629.5,437.75,BERGEPAINT
2025-04-08,520.0,538.0,516.85,535.55,629.5,437.75,BERGEPAINT
2025-04-07,499.95,515.25,494.5,511.95,629.5,437.75,BERGEPAINT
2025-04-04,515.0,521.5,506.3,512.05,629.5,437.75,BERGEPAINT
2025-04-03,500.95,513.6,497.7,511.3,629.5,437.75,BERGEPAINT
2025-04-02,494.0,508.1,486.55,505.1,629.5,437.75,BERGEPAINT
2025-04-01,500.0,505.1,489.75,493.5,629.5,437.75,BERGEPAINT
2025-03-28,501.75,511.9,499.1,500.2,629.5,437.75,BERGEPAINT
2025-03-27,501.05,505.0,497.0,501.75,629.5,437.75,BERGEPAINT
2025-03-26,502.9,509.25,499.05,501.45,629.5,437.75,BERGEPAINT
2025-03-25,514.0,514.0,499.95,501.0,629.5,437.75,BERGEPAINT
2025-03-24,501.0,514.15,501.0,511.6,629.5,437.75,BERGEPAINT
2025-03-21,507.8,509.9,497.0,500.3,629.5,437.75,BERGEPAINT
2025-03-20,502.2,510.4,498.95,507.85,629.5,437.75,BERGEPAINT
2025-03-19,506.0,508.55,500.05,501.4,629.5,437.75,BERGEPAINT
2025-03-18,505.0,508.75,496.4,505.6,629.5,437.75,BERGEPAINT
2025-03-17,484.1,504.0,484.1,502.65,629.5,437.75,BERGEPAINT
